 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.8806  0.8296  0.7777  0.7262  0.6757  0.5523  0.4314  0.3133  0.1973  0.0822
 -0.0322 -0.1459 -0.2579 -0.3678
  0.9660  0.9613  0.9650  0.9746  0.9836  0.9872  0.9836  0.9716  0.9487  0.9154
  0.8741  0.8271  0.7773  0.7265  0.6761  0.5520  0.4300  0.3107  0.1940  0.0791
 -0.0347 -0.1473 -0.2581 -0.3667 -0.4731 -0.5775 -0.6805 -0.7825 -0.8821 -0.9772
  0.9562  0.9395  0.9264  0.9191  0.9176  0.9208  0.9261  0.9269  0.9173  0.8949
  0.8617  0.8207  0.7747  0.7261  0.6764  0.5525  0.4299  0.3097  0.1923  0.0772
 -0.0362 -0.1481 -0.2582 -0.3660 -0.4714 -0.5746 -0.6758 -0.7755 -0.8740 -0.9706
 -1.0629
  0.9566  0.9361  0.9155  0.8967  0.8813  0.8697  0.8604  0.8519  0.8434  0.8343
  0.8213  0.7987  0.7649  0.7225  0.6758  0.5534  0.4307  0.3098  0.1918  0.0765
 -0.0368 -0.1483 -0.2579 -0.3654 -0.4703 -0.5727 -0.6729 -0.7711 -0.8677 -0.9631
 -1.0569
  0.9602  0.9389  0.9157  0.8917  0.8681  0.8463  0.8264  0.8076  0.7882  0.7679
  0.7488  0.7325  0.7166  0.6953  0.6641  0.5532  0.4309  0.3097  0.1910  0.0752
 -0.0382 -0.1497 -0.2592 -0.3666 -0.4715 -0.5737 -0.6735 -0.7710 -0.8665 -0.9602
 -1.0528
  0.9612  0.9419  0.9193  0.8939  0.8668  0.8392  0.8122  0.7861  0.7605  0.7345
  0.7079  0.6817  0.6581  0.6379  0.6190  0.5467  0.4330  0.3121  0.1932  0.0773
 -0.0361 -0.1476 -0.2570 -0.3644 -0.4695 -0.5718 -0.6715 -0.7687 -0.8635 -0.9562
 -1.0474
  0.9556  0.9400  0.9201  0.8964  0.8692  0.8395  0.8088  0.7781  0.7478  0.7178
