 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.6648 -6.3765 -6.0248 -5.6990 -5.4057 -5.1468 -4.9147 -4.6555 -4.2701 -3.8002
 -3.3298 -2.9183 -2.5873 -2.3318 -2.1375 -1.8194 -1.6153 -1.4678 -1.3609 -1.2819
 -1.2212 -1.1736 -1.1361 -1.1064 -1.0820 -1.0631 -1.0507 -1.0455 -1.0471 -1.0539
 -6.2929 -5.9553 -5.6788 -5.4292 -5.1850 -4.9381 -4.6889 -4.4409 -4.1435 -3.7605
 -3.3479 -2.9630 -2.6364 -2.3744 -2.1701 -1.8347 -1.6260 -1.4754 -1.3662 -1.2871
 -1.2279 -1.1825 -1.1474 -1.1203 -1.0987 -1.0816 -1.0685 -1.0606 -1.0594 -1.0653
 -1.0767
 -6.0585 -5.6284 -5.2790 -5.0057 -4.7868 -4.5958 -4.4078 -4.2003 -3.9563 -3.6626
 -3.3251 -2.9847 -2.6766 -2.4163 -2.2059 -1.8530 -1.6382 -1.4849 -1.3727 -1.2919
 -1.2333 -1.1896 -1.1570 -1.1327 -1.1142 -1.0997 -1.0886 -1.0805 -1.0768 -1.0793
 -1.0895
 -6.0277 -5.5325 -5.1059 -4.7521 -4.4678 -4.2381 -4.0409 -3.8560 -3.6583 -3.4297
 -3.1768 -2.9184 -2.6681 -2.4370 -2.2350 -1.8718 -1.6498 -1.4940 -1.3788 -1.2955
 -1.2365 -1.1941 -1.1637 -1.1423 -1.1272 -1.1162 -1.1081 -1.1017 -1.0981 -1.0989
 -1.1049
 -6.1279 -5.5873 -5.1081 -4.6879 -4.3341 -4.0420 -3.7995 -3.5890 -3.3916 -3.1901
 -2.9755 -2.7611 -2.5628 -2.3851 -2.2253 -1.8943 -1.6649 -1.5057 -1.3875 -1.3009
 -1.2398 -1.1976 -1.1687 -1.1496 -1.1377 -1.1305 -1.1262 -1.1235 -1.1223 -1.1220
 -1.1269
 -6.2734 -5.7227 -5.2063 -4.7398 -4.3310 -3.9819 -3.6881 -3.4397 -3.2233 -3.0243
 -2.8309 -2.6408 -2.4619 -2.3030 -2.1662 -1.8949 -1.6803 -1.5177 -1.3968 -1.3069
 -1.2429 -1.1994 -1.1711 -1.1537 -1.1445 -1.1409 -1.1407 -1.1421 -1.1444 -1.1477
 -1.1554
 -6.3948 -5.8575 -5.3381 -4.8479 -4.4046 -4.0129 -3.6746 -3.3867 -3.1418 -2.9298
 -2.7398 -2.5644 -2.4015 -2.2534 -2.0577 -1.8736 -1.6960 -1.5300 -1.4067
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  V   
 -7.6511 -7.4714 -7.4895 -7.5343 -7.4569 -7.1551 -6.5537 -5.6596 -4.8316 -4.0237
 -3.3602 -2.8885 -2.5605 -2.3258 -2.1504 -1.8477 -1.6400 -1.4834 -1.3561
 -7.3465 -7.1236 -6.9653 -6.8596 -6.7760 -6.6495 -6.3169 -5.5583 -4.7450 -3.9692
