 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -7.2237 -6.7493 -6.3396 -5.9999 -5.7275 -5.5085 -5.3217 -5.1469 -4.9586 -4.7389
 -4.4949 -4.2445 -4.0003 -3.7736 -3.5745 -3.2181 -3.0080 -2.8652 -2.7597 -2.6811
 -2.6228 -2.5792 -2.5468 -2.5232 -2.5063 -2.4939 -2.4847 -2.4776 -2.4732 -2.4725
 -2.4760
 -7.3391 -6.8190 -6.3569 -5.9510 -5.6095 -5.3281 -5.0955 -4.8939 -4.7045 -4.5096
 -4.3010 -4.0916 -3.8973 -3.7224 -3.5647 -3.2382 -3.0178 -2.8706 -2.7630 -2.6829
 -2.6242 -2.5815 -2.5509 -2.5298 -2.5161 -2.5075 -2.5022 -2.4990 -2.4975 -2.4972
 -2.5012
 -7.4970 -6.9663 -6.4672 -6.0151 -5.6183 -5.2793 -4.9945 -4.7539 -4.5443 -4.3509
 -4.1619 -3.9753 -3.7992 -3.6421 -3.5066 -3.2382 -3.0293 -2.8769 -2.7665 -2.6845
 -2.6245 -2.5818 -2.5524 -2.5333 -2.5223 -2.5172 -2.5161 -2.5171 -2.5194 -2.5229
 -2.5306
 -7.6232 -7.1079 -6.6067 -6.1317 -5.7007 -5.3191 -4.9892 -4.7084 -4.4694 -4.2621
 -4.0757 -3.9029 -3.7418 -3.5948 -3.4002 -3.2181 -3.0425 -2.8841 -2.7702
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.7504 -8.5712 -8.5862 -8.6321 -8.5627 -8.2842 -7.7300 -6.9044 -6.1327 -5.3581
 -4.7028 -4.2316 -3.9048 -3.6738 -3.5048 -3.2224 -3.0314 -2.8848 -2.7634
 -8.4586 -8.2412 -8.0848 -7.9810 -7.9024 -7.7901 -7.4930 -6.7950 -6.0382 -5.2987
