 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  o   
 -1.4374 -1.4455 -1.4592 -1.4757 -1.4938 -1.5134 -1.5349 -1.5589 -1.5865 -1.6186
 -1.6528
 -2.5403 -2.4008 -2.2797 -2.1761 -2.0901 -2.0199 -1.9628 -1.9151 -1.8745 -1.8414
 -1.8162 -1.7940 -1.7666 -1.7311 -1.6909 -1.5968 -1.5269 -1.4799 -1.4519 -1.4398
 -1.4401 -1.4496 -1.4654 -1.4845 -1.5050 -1.5263 -1.5487 -1.5724 -1.5981 -1.6274
 -1.6617
 -2.5369 -2.3993 -2.2778 -2.1707 -2.0779 -1.9991 -1.9330 -1.8775 -1.8301 -1.7888
 -1.7534 -1.7250 -1.7036 -1.6857 -1.6648 -1.5928 -1.5251 -1.4788 -1.4511 -1.4392
 -1.4401 -1.4508 -1.4689 -1.4910 -1.5146 -1.5386 -1.5630 -1.5878 -1.6135 -1.6411
 -1.6720
 -2.5208 -2.3934 -2.2755 -2.1702 -2.0761 -1.9937 -1.9227 -1.8620 -1.8099 -1.7649
 -1.7254 -1.6909 -1.6615 -1.6378 -1.6192 -1.5764 -1.5217 -1.4763 -1.4487 -1.4364
 -1.4372 -1.4487 -1.4683 -1.4933 -1.5205 -1.5479 -1.5752 -1.6021 -1.6291 -1.6568
 -1.6860
 -2.4851 -2.3701 -2.2633 -2.1628 -2.0722 -1.9908 -1.9187 -1.8558 -1.8010 -1.7533
 -1.7113 -1.6742 -1.6415 -1.6129 -1.5885 -1.5455 -1.5091 -1.4714 -1.4442 -1.4316
 -1.4319 -1.4435 -1.4641 -1.4912 -1.5217 -1.5530 -1.5840 -1.6142 -1.6437 -1.6730
 -1.7026
 -2.4316 -2.3309 -2.2348 -2.1443 -2.0594 -1.9825 -1.9129 -1.8508 -1.7957 -1.7470
 -1.7036 -1.6651 -1.6306 -1.5999 -1.5727 -1.5001 -1.4873 -1.4641 -1.4376
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  o   
 -3.3974 -3.3330 -3.2674 -3.1899 -3.0892 -2.9475 -2.7480 -2.5014 -2.2891 -2.1258
 -2.0004 -1.9016 -1.8217 -1.7555 -1.6984 -1.5850 -1.5007 -1.4385 -1.3961
 -3.1975 -3.1242 -3.0580 -2.9894 -2.9080 -2.7996 -2.6427 -2.4464 -2.2621 -2.1107
 -1.9905 -1.8941 -1.8156 -1.7504 -1.6948 -1.5849 -1.5042 -1.4463 -1.4086 -1.3880
 -3.0403 -2.9538 -2.8815 -2.8159 -2.7480 -2.6659 -2.5497 -2.3966 -2.2404 -2.1023
 -1.9872 -1.8926 -1.8146 -1.7495 -1.6943 -1.5863 -1.5082 -1.4534 -1.4186 -1.4001
 -1.3943
 -2.9223 -2.8216 -2.7391 -2.6698 -2.6067 -2.5413 -2.4581 -2.3424 -2.2144 -2.0925
 -1.9850 -1.8933 -1.8160 -1.7510 -1.6958 -1.5888 -1.5126 -1.4597 -1.4270 -1.4099
 -1.4048 -1.4083
 -2.8046 -2.7100 -2.6251 -2.5515 -2.4871 -2.4278 -2.3648 -2.2809 -2.1797 -2.0761
 -1.9793 -1.8930 -1.8177 -1.7531 -1.6979 -1.5916 -1.5167 -1.4652 -1.4338 -1.4179
 -1.4136 -1.4177 -1.4274 -1.4404
 -2.6702 -2.5602 -2.4806 -2.4230 -2.3738 -2.3245 -2.2726 -2.2117 -2.1351 -2.0506
 -1.9668 -1.8884 -1.8174 -1.7546 -1.6999 -1.5941 -1.5202 -1.4698 -1.4391 -1.4241
 -1.4206 -1.4256 -1.4363 -1.4506 -1.4673 -1.4867 -1.5094 -1.5364 -1.5671 -1.5990
 -2.6230 -2.4878 -2.3784 -2.2939 -2.2307 -2.1844 -2.1497 -2.1157 -2.0703 -2.0112
 -1.9447 -1.8773 -1.8129 -1.7538 -1.7006 -1.5956 -1.5227 -1.4731 -1.4429 -1.4284
 -1.4258 -1.4317 -1.4438 -1.4597 -1.4778 -1.4978 -1.5199 -1.5450 -1.5738 -1.6066
 -1.6410
 -2.6112 -2.4661 -2.3424 -2.2394 -2.1563 -2.0903 -2.0374 -1.9933 -1.9548 -1.9202
 -1.8855 -1.8455 -1.7983 -1.7479 -1.6988 -1.5961 -1.5238 -1.4749 -1.4449 -1.4307
 -1.4287 -1.4357 -1.4493 -1.4673 -1.4875 -1.5092 -1.5323 -1.5568 -1.5838 -1.6144
 -1.6494
 -2.6102 -2.4624 -2.3327 -2.2208 -2.1258 -2.0470 -1.9820 -1.9273 -1.8792 -1.8360
 -1.7987 -1.7685 -1.7430 -1.7164 -1.6844 -1.5939 -1.5225 -1.4743 -1.4448 -1.4307
