 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -7.0187 -6.8603 -6.6519 -6.4323 -6.2469 -6.1120 -6.0245 -5.9617 -5.8592 -5.6725
 -5.4124 -5.1646 -4.9399 -4.7211 -4.5065 -3.9886 -3.4928 -3.0236 -2.6036 -2.2512
 -1.9710 -1.7605 -1.6154 -1.5240 -1.4711 -1.4418 -1.4258 -1.4170 -1.4107 -1.4017
 -1.3852
 -6.9561 -6.8215 -6.6451 -6.4209 -6.1931 -5.9930 -5.8349 -5.7079 -5.6048 -5.5101
 -5.3822 -5.1811 -4.9530 -4.7320 -4.5145 -3.9894 -3.4894 -3.0176 -2.5915 -2.2295
 -1.9371 -1.7126 -1.5518 -1.4472 -1.3858 -1.3528 -1.3371 -1.3308 -1.3288 -1.3271
 -1.3229
 -6.9029 -6.7694 -6.6293 -6.4387 -6.2027 -5.9641 -5.7554 -5.5805 -5.4285 -5.2911
 -5.1662 -5.0460 -4.9027 -4.7294 -4.5339 -4.0131 -3.5104 -3.0358 -2.6038 -2.2305
 -1.9236 -1.6822 -1.5031 -1.3816 -1.3076 -1.2672 -1.2486 -1.2422 -1.2425 -1.2456
 -1.2486
 -6.8843 -6.7214 -6.5954 -6.4487 -6.2487 -6.0063 -5.7609 -5.5418 -5.3535 -5.1858
 -5.0291 -4.8815 -4.7444 -4.6105 -4.4720 -4.0528 -3.5593 -3.0849 -2.6487 -2.2644
 -1.9410 -1.6801 -1.4794 -1.3360 -1.2436 -1.1905 -1.1642 -1.1546 -1.1547 -1.1607
 -1.1674
 -6.9231 -6.6982 -6.5554 -6.4310 -6.2782 -6.0735 -5.8288 -5.5791 -5.3511 -5.1513
 -4.9725 -4.8054 -4.6465 -4.4966 -4.3546 -4.0167 -3.6136 -3.1506 -2.7131 -2.3203
 -1.9821 -1.7020 -1.4796 -1.3125 -1.1977 -1.1268 -1.0884 -1.0715 -1.0681 -1.0730
 -1.0816
 -7.0504 -6.7230 -6.5334 -6.4008 -6.2754 -6.1190 -5.9132 -5.6698 -5.4187 -5.1841
 -4.9746 -4.7869 -4.6130 -4.4480 -4.2903 -3.9354 -3.6029 -3.2165 -2.7900
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  u   
 -7.7901 -7.5892 -7.3985 -7.2018 -6.9554 -6.6938 -6.4826 -6.3003 -6.1370 -5.9896
 -5.8442 -5.6988 -5.5539 -5.4078 -5.2591 -4.8641 -4.4381 -3.9870 -3.5157
 -7.6987 -7.5705 -7.3700 -7.1680 -6.9311 -6.6461 -6.3985 -6.1862 -6.0024 -5.8386
 -5.6796 -5.5229 -5.3673 -5.2110 -5.0516 -4.6335 -4.1841 -3.7247 -3.2885 -2.8979
 -7.5396 -7.4940 -7.3248 -7.1298 -6.9175 -6.6444 -6.3541 -6.1068 -5.8979 -5.7144
 -5.5421 -5.3744 -5.2094 -5.0451 -4.8793 -4.4494 -3.9943 -3.5359 -3.1105 -2.7413
 -2.4416
 -7.3318 -7.2298 -7.2074 -7.0598 -6.8762 -6.6564 -6.3673 -6.0759 -5.8321 -5.6241
 -5.4375 -5.2581 -5.0835 -4.9116 -4.7402 -4.3039 -3.8489 -3.3931 -2.9731 -2.6139
 -2.3242 -2.1077
 -7.1702 -6.9884 -6.8991 -6.8896 -6.7806 -6.6129 -6.3939 -6.1028 -5.8145 -5.5743
 -5.3683 -5.1769 -4.9921 -4.8121 -4.6346 -4.1921 -3.7391 -3.2870 -2.8697 -2.5137
 -2.2273 -2.0109 -1.8606 -1.7603
 -7.1193 -6.9136 -6.7105 -6.5774 -6.5375 -6.4818 -6.3403 -6.1343 -5.8535 -5.5713
 -5.3348 -5.1301 -4.9356 -4.7473 -4.5632 -4.1125 -3.6607 -3.2123 -2.7960 -2.4389
 -2.1505 -1.9296 -1.7727 -1.6693 -1.6040 -1.5622 -1.5348 -1.5148 -1.4942 -1.4665
 -7.0762 -6.8888 -6.6620 -6.4431 -6.2799 -6.1877 -6.1387 -6.0480 -5.8740 -5.6205
 -5.3460 -5.1152 -4.9112 -4.7156 -4.5256 -4.0656 -3.6132 -3.1672 -2.7504 -2.3888
 -2.0937 -1.8643 -1.6972 -1.5846 -1.5144 -1.4726 -1.4476 -1.4319 -1.4197 -1.4057
 -1.3842
 -7.0333 -6.8700 -6.6656 -6.4231 -6.1917 -6.0073 -5.8742 -5.7824 -5.7056 -5.5892
 -5.3927 -5.1378 -4.9138 -4.7121 -4.5172 -4.0497 -3.5959 -3.1510 -2.7324 -2.3638
 -2.0580 -1.8166 -1.6358 -1.5102 -1.4305 -1.3840 -1.3586 -1.3449 -1.3372 -1.3312
 -1.3226
 -6.9523 -6.8398 -6.6712 -6.4525 -6.1982 -5.9566 -5.7563 -5.5965 -5.4663 -5.3564
 -5.2518 -5.1213 -4.9300 -4.7253 -4.5284 -4.0571 -3.6022 -3.1581 -2.7368 -2.3598
 -2.0415 -1.7851 -1.5885 -1.4471 -1.3542 -1.2993 -1.2702 -1.2566 -1.2513 -1.2497
 -1.2487
 -6.9493 -6.8152 -6.6598 -6.4855 -6.2579 -5.9966 -5.7464 -5.5325 -5.3545 -5.2006
 -5.0625 -4.9369 -4.8169 -4.6808 -4.5272 -4.0878 -3.6354 -3.1948 -2.7733 -2.3883
 -2.0556 -1.7814 -1.5656 -1.4046 -1.2937 -1.2249 -1.1872 -1.1696 -1.1638 -1.1645
 -1.1678
 -7.0199 -6.8169 -6.6413 -6.4906 -6.3116 -6.0802 -5.8164 -5.5596 -5.3344 -5.1423
 -4.9738 -4.8201 -4.6780 -4.5469 -4.4194 -4.0898 -3.6824 -3.2477 -2.8292 -2.4398
 -2.0944 -1.8026 -1.5667 -1.3843 -1.2521 -1.1650 -1.1138 -1.0879 -1.0781 -1.0781
 -1.0828
 -7.1642 -6.8448 -6.6383 -6.4776 -6.3310 -6.1503 -5.9194 -5.6569 -5.3972 -5.1627
 -4.9590 -4.7799 -4.6169 -4.4657 -4.2050 -4.0631 -3.7432 -3.3168 -2.9045
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  u   
 -7.7255 -7.5553 -7.3664 -7.1610 -6.8943 -6.6393 -6.4323 -6.2639 -6.1113 -5.9752
 -5.8398 -5.7047 -5.5698 -5.4341 -5.2959 -4.9288 -4.5286 -4.1002 -3.6490
 -7.7478 -7.5499 -7.3497 -7.1338 -6.8722 -6.5801 -6.3346 -6.1397 -5.9690 -5.8200
