 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -1.9331
 -3.1056 -2.9707 -2.8419 -2.7187 -2.6046 -2.5032 -2.4176 -2.3480 -2.2932 -2.2513
 -2.2152 -2.1730 -2.1223 -2.0743 -2.0308 -1.9370 -1.8609 -1.8033 -1.7650 -1.7439
 -1.7366 -1.7399 -1.7513 -1.7681 -1.7878 -1.8089 -1.8315 -1.8554 -1.8808 -1.9090
 -1.9409
 -3.0877 -2.9587 -2.8354 -2.7174 -2.6060 -2.5033 -2.4113 -2.3312 -2.2634 -2.2062
 -2.1587 -2.1198 -2.0863 -2.0529 -2.0186 -1.9326 -1.8585 -1.8019 -1.7635 -1.7420
 -1.7345 -1.7382 -1.7507 -1.7694 -1.7918 -1.8159 -1.8410 -1.8668 -1.8936 -1.9216
 -1.9516
 -3.0717 -2.9457 -2.8262 -2.7126 -2.6052 -2.5050 -2.4129 -2.3297 -2.2561 -2.1919
 -2.1363 -2.0885 -2.0479 -2.0137 -1.9844 -1.9192 -1.8541 -1.7988 -1.7605 -1.7383
 -1.7302 -1.7339 -1.7470 -1.7672 -1.7921 -1.8195 -1.8478 -1.8765 -1.9055 -1.9349
 -1.9644
 -3.0573 -2.9318 -2.8147 -2.7053 -2.6010 -2.5040 -2.4141 -2.3316 -2.2568 -2.1896
 -2.1298 -2.0774 -2.0316 -1.9918 -1.9282 -1.8968 -1.8477 -1.7940 -1.7560
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  G   
 -3.4801 -3.2750 -3.1027 -2.9600 -2.8163 -2.6924 -2.5910 -2.5053 -2.4253 -2.3554
 -2.2885 -2.2253 -2.1662 -2.1111 -2.0597 -1.9454 -1.8528 -1.7799 -1.7238
 -3.5225 -3.3153 -3.1229 -2.9574 -2.8154 -2.6855 -2.5790 -2.4906 -2.4092 -2.3389
