 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.3528 -4.7942 -4.2636 -3.7801 -3.3494 -2.9770 -2.6604 -2.3933 -2.1648 -1.9641
 -1.7826 -1.6164 -1.4666 -1.3353 -1.2223 -0.9943 -0.7941 -0.6250 -0.4946 -0.3950
 -0.3194 -0.2625 -0.2204 -0.1902 -0.1693 -0.1548 -0.1445 -0.1365 -0.1298 -0.1245
 -0.1237
 -5.4704 -4.9301 -4.4064 -3.9102 -3.4532 -3.0492 -2.6983 -2.4000 -2.1483 -1.9344
 -1.7496 -1.5871 -1.4427 -1.3147 -1.1661 -0.9696 -0.8062 -0.6356 -0.5013
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.5664 -6.3668 -6.3249 -6.3162 -6.2193 -5.9361 -5.3877 -4.5813 -3.7465 -2.9828
 -2.3996 -1.9926 -1.7080 -1.5017 -1.3442 -1.0604 -0.8518 -0.6835 -0.5373
 -6.2087 -5.9835 -5.8002 -5.6550 -5.5313 -5.3633 -5.0321 -4.3656 -3.6093 -2.9040
 -2.3480 -1.9474 -1.6629 -1.4562 -1.2984 -1.0170 -0.8128 -0.6506 -0.5158 -0.4004
 -5.9281 -5.6792 -5.4632 -5.2876 -5.1421 -4.9851 -4.7178 -4.1911 -3.5372 -2.8903
 -2.3525 -1.9485 -1.6551 -1.4406 -1.2780 -0.9929 -0.7893 -0.6301 -0.5006 -0.3919
 -0.2992
 -5.7028 -5.4373 -5.1915 -4.9790 -4.8023 -4.6400 -4.4273 -4.0260 -3.4775 -2.8973
 -2.3823 -1.9756 -1.6710 -1.4452 -1.2744 -0.9812 -0.7762 -0.6180 -0.4917 -0.3873
 -0.2994 -0.2246
 -5.5110 -5.2390 -4.9756 -4.7327 -4.5192 -4.3326 -4.1424 -3.8466 -3.4031 -2.8971
 -2.4165 -2.0147 -1.7015 -1.4638 -1.2830 -0.9778 -0.7700 -0.6115 -0.4868 -0.3855
 -0.3012 -0.2302 -0.1699 -0.1185
 -5.2793 -5.0405 -4.7776 -4.5273 -4.2927 -4.0765 -3.8746 -3.6441 -3.2999 -2.8740
 -2.4399 -2.0540 -1.7389 -1.4919 -1.3010 -0.9807 -0.7688 -0.6090 -0.4847 -0.3854
 -0.3040 -0.2361 -0.1792 -0.1312 -0.0899 -0.0548 -0.0254 -0.0016  0.0160  0.0242
 -5.0615 -4.7546 -4.5044 -4.2834 -4.0717 -3.8603 -3.6461 -3.4285 -3.1638 -2.8191
 -2.4417 -2.0839 -1.7758 -1.5248 -1.3256 -0.9889 -0.7714 -0.6094 -0.4846 -0.3863
 -0.3070 -0.2418 -0.1880 -0.1434 -0.1060 -0.0743 -0.0476 -0.0252 -0.0071  0.0041
  0.0062
 -4.9434 -4.5443 -4.2152 -3.9543 -3.7442 -3.5624 -3.3873 -3.1990 -2.9808 -2.7160
 -2.4083 -2.0936 -1.8048 -1.5574 -1.3540 -1.0017 -0.7772 -0.6122 -0.4860 -0.3877
 -0.3097 -0.2467 -0.1958 -0.1545 -0.1208 -0.0927 -0.0692 -0.0494 -0.0332 -0.0214
 -0.0162
 -4.9706 -4.5056 -4.1016 -3.7631 -3.4884 -3.2650 -3.0735 -2.8960 -2.7105 -2.5005
 -2.2678 -2.0274 -1.7918 -1.5718 -1.3771 -1.0163 -0.7841 -0.6157 -0.4872 -0.3882
 -0.3108 -0.2496 -0.2010 -0.1629 -0.1329 -0.1088 -0.0892 -0.0725 -0.0590 -0.0491
 -0.0431
 -5.1128 -4.5970 -4.1385 -3.7350 -3.3932 -3.1093 -2.8727 -2.6675 -2.4769 -2.2850
 -2.0834 -1.8819 -1.6940 -1.5233 -1.3674 -1.0362 -0.7965 -0.6235 -0.4920 -0.3909
 -0.3129 -0.2524 -0.2055 -0.1698 -0.1429 -0.1227 -0.1073 -0.0949 -0.0850 -0.0767
 -0.0727
 -5.3067 -4.7688 -4.2674 -3.8150 -3.4179 -3.0776 -2.7903 -2.5469 -2.3350 -2.1413
 -1.9547 -1.7724 -1.6008 -1.4471 -1.3129 -1.0382 -0.8113 -0.6336 -0.4984 -0.3946
 -0.3151 -0.2543 -0.2082 -0.1741 -0.1497 -0.1328 -0.1214 -0.1135 -0.1077 -0.1038
 -0.1049
 -5.4757 -4.9459 -4.4341 -3.9525 -3.5177 -3.1333 -2.8009 -2.5174 -2.2758 -2.0666
 -1.8794 -1.7074 -1.5478 -1.4024 -1.2136 -1.0223 -0.8285 -0.6460 -0.5064
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.5766 -6.4194 -6.4336 -6.4669 -6.3839 -6.0961 -5.5400 -4.7213 -3.9508 -3.1866
 -2.5475 -2.0873 -1.7652 -1.5338 -1.3611 -1.0620 -0.8512 -0.6835 -0.5381
 -6.2375 -6.0506 -5.9107 -5.8112 -5.7263 -5.5992 -5.2893 -4.5982 -3.8451 -3.1158
