 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -2.1568 -2.0671 -1.9917 -1.9304 -1.8812 -1.7795 -1.6890 -1.6233 -1.5806 -1.5565
 -1.5480 -1.5519 -1.5654 -1.5853 -1.6079 -1.6312 -1.6547 -1.6784 -1.7028 -1.7286
 -1.7568
 -4.2527 -3.9435 -3.6502 -3.3660 -3.1038 -2.8701 -2.6695 -2.5016 -2.3614 -2.2426
 -2.1402 -2.0510 -1.9736 -1.9077 -1.8526 -1.7533 -1.6775 -1.6161 -1.5740 -1.5498
 -1.5410 -1.5453 -1.5600 -1.5823 -1.6086 -1.6360 -1.6633 -1.6901 -1.7166 -1.7434
 -1.7710
 -4.2728 -3.9587 -3.6618 -3.3818 -3.1199 -2.8855 -2.6812 -2.5082 -2.3631 -2.2413
 -2.1375 -2.0478 -1.9694 -1.9010 -1.8399 -1.7133 -1.6593 -1.6059 -1.5648
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  R   
 -5.5420 -5.3521 -5.1724 -4.9920 -4.8088 -4.5673 -4.2078 -3.7219 -3.2376 -2.8298
 -2.5263 -2.3108 -2.1573 -2.0436 -1.9536 -1.7871 -1.6687 -1.5838 -1.5261
 -5.2655 -5.0570 -4.8692 -4.6922 -4.5147 -4.3082 -4.0065 -3.5995 -3.1725 -2.7960
 -2.5045 -2.2923 -2.1400 -2.0281 -1.9408 -1.7809 -1.6684 -1.5893 -1.5371 -1.5052
 -5.0627 -4.8354 -4.6347 -4.4525 -4.2804 -4.0979 -3.8489 -3.5099 -3.1387 -2.7927
 -2.5098 -2.2958 -2.1396 -2.0252 -1.9375 -1.7805 -1.6716 -1.5960 -1.5469 -1.5172
 -1.5023
 -4.9073 -4.6672 -4.4545 -4.2632 -4.0862 -3.9134 -3.7086 -3.4280 -3.1096 -2.7971
 -2.5263 -2.3113 -2.1495 -2.0300 -1.9399 -1.7832 -1.6767 -1.6030 -1.5557 -1.5273
 -1.5130 -1.5094
 -4.7136 -4.4999 -4.2981 -4.1087 -3.9291 -3.7547 -3.5734 -3.3436 -3.0728 -2.7959
 -2.5429 -2.3314 -2.1653 -2.0399 -1.9455 -1.7869 -1.6821 -1.6096 -1.5632 -1.5359
 -1.5221 -1.5188 -1.5227 -1.5314
 -4.4539 -4.2290 -4.0503 -3.9009 -3.7585 -3.6075 -3.4406 -3.2490 -3.0224 -2.7817
 -2.5516 -2.3494 -2.1829 -2.0527 -1.9534 -1.7905 -1.6867 -1.6152 -1.5691 -1.5425
 -1.5295 -1.5267 -1.5314 -1.5409 -1.5542 -1.5716 -1.5940 -1.6231 -1.6573 -1.6916
 -4.3396 -4.0662 -3.8367 -3.6491 -3.4948 -3.3616 -3.2356 -3.0952 -2.9273 -2.7373
 -2.5419 -2.3585 -2.1982 -2.0665 -1.9627 -1.7933 -1.6898 -1.6192 -1.5733 -1.5470
 -1.5348 -1.5329 -1.5387 -1.5495 -1.5635 -1.5806 -1.6009 -1.6257 -1.6564 -1.6925
 -1.7290
 -4.3151 -4.0136 -3.7460 -3.5150 -3.3205 -3.1556 -3.0087 -2.8677 -2.7262 -2.5891
 -2.4570 -2.3260 -2.1962 -2.0758 -1.9722 -1.7956 -1.6909 -1.6210 -1.5754 -1.5491
 -1.5376 -1.5367 -1.5440 -1.5568 -1.5726 -1.5906 -1.6111 -1.6339 -1.6606 -1.6927
 -1.7307
 -4.3327 -4.0182 -3.7280 -3.4658 -3.2362 -3.0398 -2.8711 -2.7197 -2.5767 -2.4408
 -2.3182 -2.2145 -2.1263 -2.0457 -1.9662 -1.7957 -1.6888 -1.6195 -1.5744 -1.5483
 -1.5373 -1.5379 -1.5469 -1.5620 -1.5805 -1.6007 -1.6224 -1.6457 -1.6709 -1.6993
 -1.7327
 -4.3724 -4.0518 -3.7515 -3.4717 -3.2170 -2.9943 -2.8038 -2.6403 -2.4964 -2.3655
 -2.2464 -2.1412 -2.0530 -1.9814 -1.9219 -1.7921 -1.6861 -1.6163 -1.5713 -1.5451
 -1.5343 -1.5357 -1.5463 -1.5636 -1.5850 -1.6082 -1.6324 -1.6573 -1.6831 -1.7105
 -1.7404
 -4.4152 -4.0905 -3.7865 -3.4980 -3.2308 -2.9902 -2.7818 -2.6051 -2.4549 -2.3251
 -2.2104 -2.1088 -2.0199 -1.9445 -1.8823 -1.7687 -1.6795 -1.6106 -1.5657 -1.5394
 -1.5285 -1.5303 -1.5420 -1.5612 -1.5854 -1.6121 -1.6397 -1.6674 -1.6952 -1.7235
 -1.7528
 -4.4634 -4.1316 -3.8215 -3.5308 -3.2569 -3.0081 -2.7886 -2.6006 -2.4423 -2.3087
 -2.1943 -2.0947 -2.0073 -1.9311 -1.8474 -1.7255 -1.6690 -1.6024 -1.5576
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  R   
 -5.7647 -5.5982 -5.4409 -5.2808 -5.0931 -4.8231 -4.4148 -3.8739 -3.3620 -2.9168
 -2.5788 -2.3370 -2.1653 -2.0390 -1.9432 -1.7717 -1.6532 -1.5686 -1.5101
 -5.4935 -5.3030 -5.1314 -4.9691 -4.7978 -4.5802 -4.2397 -3.7816 -3.3131 -2.8940
