 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.9102 -2.0304 -2.1482 -2.2617 -2.3675 -2.4622 -2.5414 -2.6100 -2.6822 -2.7584
 -2.8376 -2.9190 -3.0008 -3.0814 -3.1602 -3.3505 -3.5317 -3.7034 -3.8679 -4.0258
 -4.1766 -4.3214 -4.4608 -4.5951 -4.7243 -4.8493 -4.9710 -5.0895 -5.2048 -5.3161
 -1.8952 -2.0088 -2.1203 -2.2303 -2.3377 -2.4406 -2.5350 -2.6170 -2.6945 -2.7722
 -2.8509 -2.9306 -3.0105 -3.0896 -3.1671 -3.3551 -3.5365 -3.7089 -3.8734 -4.0312
 -4.1821 -4.3266 -4.4655 -4.5993 -4.7282 -4.8528 -4.9737 -5.0913 -5.2058 -5.3169
 -5.4243
 -1.8922 -2.0018 -2.1082 -2.2126 -2.3155 -2.4160 -2.5114 -2.5993 -2.6829 -2.7663
 -2.8504 -2.9341 -3.0162 -3.0963 -3.1738 -3.3590 -3.5395 -3.7126 -3.8773 -4.0349
 -4.1859 -4.3301 -4.4685 -4.6019 -4.7306 -4.8549 -4.9753 -5.0922 -5.2059 -5.3164
 -5.4236
 -1.8970 -2.0051 -2.1086 -2.2089 -2.3074 -2.4045 -2.4989 -2.5888 -2.6742 -2.7569
 -2.8395 -2.9237 -3.0088 -3.0937 -3.1761 -3.3652 -3.5440 -3.7174 -3.8828 -4.0404
 -4.1912 -4.3355 -4.4736 -4.6066 -4.7352 -4.8595 -4.9798 -5.0963 -5.2094 -5.3193
 -5.4262
 -1.9005 -2.0090 -2.1116 -2.2098 -2.3052 -2.3990 -2.4913 -2.5812 -2.6682 -2.7520
 -2.8335 -2.9140 -2.9953 -3.0778 -3.1613 -3.3641 -3.5453 -3.7183 -3.8839 -4.0416
 -4.1922 -4.3364 -4.4743 -4.6071 -4.7354 -4.8597 -4.9799 -5.0962 -5.2089 -5.3183
 -5.4245
 -1.9013 -2.0114 -2.1149 -2.2127 -2.3069 -2.3986 -2.4889 -2.5777 -2.6647 -2.7494
 -2.8316 -2.9116 -2.9901 -3.0685 -3.1477 -3.3496 -3.5445 -3.7188 -3.8846 -4.0425
 -4.1930 -4.3370 -4.4749 -4.6075 -4.7357 -4.8599 -4.9802 -5.0965 -5.2090 -5.3180
 -5.4238
 -1.8991 -2.0106 -2.1157 -2.2148 -2.3090 -2.4002 -2.4894 -2.5770 -2.6632 -2.7479
 -2.8305 -2.9110 -2.9893 -3.0660 -3.1353 -3.3217 -3.5416 -3.7189 -3.8849
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8328 -1.9223 -2.0056 -2.0840 -2.1583 -2.2300 -2.3096 -2.4041 -2.5055 -2.6076
 -2.7070 -2.8021 -2.8919 -2.9761 -3.0557 -3.2367 -3.4046 -3.5704 -3.7351
 -1.8971 -1.9953 -2.0852 -2.1674 -2.2423 -2.3113 -2.3804 -2.4621 -2.5532 -2.6494
