 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.0923  1.0095  0.9251  0.8399  0.7547  0.6699  0.5853  0.5006  0.4155  0.3294
  0.2436
  1.9892  1.9621  1.9348  1.9077  1.8802  1.8509  1.8188  1.7833  1.7438  1.7010
  1.6578  1.6170  1.5799  1.5465  1.5155  1.4475  1.3860  1.3197  1.2474  1.1706
  1.0902  1.0072  0.9227  0.8373  0.7519  0.6670  0.5828  0.4991  0.4157  0.3322
  0.2479
  1.9852  1.9565  1.9260  1.8953  1.8648  1.8345  1.8035  1.7708  1.7356  1.6978
  1.6587  1.6200  1.5836  1.5502  1.5202  1.4529  1.3885  1.3213  1.2486  1.1717
  1.0913  1.0081  0.9234  0.8377  0.7518  0.6666  0.5822  0.4988  0.4163  0.3342
  0.2524
  1.9830  1.9539  1.9232  1.8909  1.8582  1.8255  1.7931  1.7607  1.7274  1.6929
  1.6572  1.6211  1.5862  1.5535  1.5233  1.4570  1.3932  1.3248  1.2516  1.1744
  1.0939  1.0107  0.9256  0.8396  0.7532  0.6672  0.5820  0.4983  0.4158  0.3343
  0.2536
  1.9816  1.9519  1.9213  1.8896  1.8568  1.8230  1.7892  1.7557  1.7224  1.6893
  1.6560  1.6224  1.5892  1.5570  1.5248  1.4598  1.4001  1.3302  1.2564
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  J   
  1.9638  1.9193  1.8788  1.8469  1.8214  1.7987  1.7759  1.7507  1.7218  1.6914
  1.6623  1.6363  1.6140  1.5945  1.5767  1.5304  1.4751  1.4086  1.3334
  2.0095  1.9589  1.9108  1.8668  1.8281  1.7953  1.7667  1.7394  1.7093  1.6775
  1.6464  1.6183  1.5941  1.5732  1.5544  1.5065  1.4503  1.3847  1.3112  1.2317
  2.0542  2.0008  1.9481  1.8978  1.8514  1.8097  1.7728  1.7393  1.7062  1.6724
  1.6393  1.6087  1.5820  1.5592  1.5390  1.4900  1.4336  1.3680  1.2951  1.2171
  1.1344
  2.0935  2.0404  1.9859  1.9320  1.8805  1.8323  1.7882  1.7480  1.7105  1.6740
  1.6386  1.6055  1.5761  1.5506  1.5285  1.4779  1.4214  1.3560  1.2835  1.2062
  1.1248  1.0396
  2.1236  2.0739  2.0204  1.9657  1.9116  1.8593  1.8099  1.7640  1.7213  1.6812
  1.6432  1.6075  1.5752  1.5469  1.5223  1.4689  1.4123  1.3472  1.2750  1.1981
  1.1176  1.0338  0.9475  0.8595
  2.1248  2.0904  2.0459  1.9949  1.9412  1.8874  1.8350  1.7850  1.7378  1.6936
  1.6524  1.6139  1.5788  1.5475  1.5201  1.4626  1.4053  1.3406  1.2688  1.1922
  1.1121  1.0293  0.9443  0.8579  0.7707  0.6829  0.5935  0.5022  0.4123  0.3253
  2.0766  2.0610  2.0345  1.9988  1.9570  1.9101  1.8595  1.8083  1.7582  1.7104
