 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -4.0246 -3.8067 -3.6140 -3.4373 -3.2702 -2.8982 -2.5940 -2.3460 -2.1376 -1.9593
 -1.8065 -1.6754 -1.5623 -1.4651 -1.3824 -1.3117 -1.2502 -1.1962 -1.1473 -1.1027
 -1.0674
 -7.0496 -6.4916 -5.9993 -5.5665 -5.2017 -4.9070 -4.6738 -4.4826 -4.3159 -4.1646
 -4.0136 -3.8425 -3.6548 -3.4753 -3.3056 -2.9232 -2.6058 -2.3488 -2.1373 -1.9600
 -1.8101 -1.6832 -1.5753 -1.4835 -1.4063 -1.3413 -1.2857 -1.2371 -1.1941 -1.1562
 -1.1230
 -7.1789 -6.6347 -6.1389 -5.6871 -5.2894 -4.9529 -4.6775 -4.4538 -4.2657 -4.0971
 -3.9410 -3.7945 -3.6509 -3.5008 -3.3453 -2.9635 -2.6331 -2.3648 -2.1471 -1.9678
 -1.8185 -1.6936 -1.5892 -1.5019 -1.4295 -1.3697 -1.3198 -1.2771 -1.2397 -1.2069
 -1.1786
 -7.2939 -6.7683 -6.2801 -5.8260 -5.4107 -5.0445 -4.7326 -4.4737 -4.2596 -4.0766
 -3.9118 -3.7580 -3.6132 -3.4764 -3.3426 -3.0030 -2.6713 -2.3905 -2.1641 -1.9802
 -1.8292 -1.7046 -1.6020 -1.5177 -1.4492 -1.3941 -1.3496 -1.3128 -1.2813 -1.2540
 -1.2291
 -7.3945 -6.8924 -6.4033 -5.9621 -5.5461 -5.1656 -4.8274 -4.5368 -4.2922 -4.0864
 -3.9092 -3.7498 -3.6010 -3.4604 -3.2975 -3.0417 -2.7204 -2.4259 -2.1883
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  B   
 -7.2875 -6.7158 -6.2456 -5.8670 -5.5166 -5.2142 -4.9496 -4.7082 -4.4812 -4.2877
 -4.1046 -3.9328 -3.7727 -3.6243 -3.4865 -3.1813 -2.9038 -2.6445 -2.4015
 -7.3264 -6.7872 -6.2810 -5.8451 -5.4778 -5.1527 -4.8743 -4.6252 -4.3936 -4.1953
