 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -6.0257 -5.8727 -5.7156 -5.5543 -5.3861 -4.9392 -4.4869 -4.0615 -3.6810 -3.3610
 -3.1083 -2.9178 -2.7823 -2.6938 -2.6418 -2.6136 -2.5990 -2.5916 -2.5866 -2.5787
 -2.5620
 -8.1140 -7.6949 -7.3331 -7.0258 -6.7703 -6.5598 -6.3860 -6.2416 -6.1209 -6.0146
 -5.9090 -5.7909 -5.6555 -5.5067 -5.3475 -4.9115 -4.4617 -4.0386 -3.6581 -3.3318
 -3.0684 -2.8658 -2.7179 -2.6182 -2.5581 -2.5262 -2.5119 -2.5067 -2.5058 -2.5056
 -2.5019
 -8.4353 -7.9514 -7.5244 -7.1543 -6.8392 -6.5748 -6.3541 -6.1686 -6.0107 -5.8745
 -5.7558 -5.6505 -5.5503 -5.4408 -5.3109 -4.9062 -4.4607 -4.0379 -3.6556 -3.3222
 -3.0461 -2.8290 -2.6663 -2.5525 -2.4809 -2.4418 -2.4245 -2.4196 -2.4212 -2.4252
 -2.4289
 -8.7828 -8.2661 -7.7889 -7.3628 -6.9918 -6.6760 -6.4096 -6.1847 -5.9934 -5.8282
 -5.6830 -5.5532 -5.4362 -5.3296 -5.2262 -4.9103 -4.4882 -4.0668 -3.6824 -3.3418
 -3.0520 -2.8174 -2.6364 -2.5046 -2.4169 -2.3657 -2.3408 -2.3327 -2.3341 -2.3404
 -2.3485
 -9.0161 -8.5362 -8.0624 -7.6102 -7.2005 -6.8407 -6.5318 -6.2684 -6.0427 -5.8477
 -5.6765 -5.5239 -5.3853 -5.2581 -5.1405 -4.8652 -4.5240 -4.1141 -3.7283 -3.3818
 -3.0802 -2.8285 -2.6283 -2.4764 -2.3695 -2.3018 -2.2651 -2.2496 -2.2477 -2.2537
 -2.2638
 -9.0887 -8.6638 -8.2383 -7.8163 -7.4078 -7.0327 -6.6975 -6.4034 -6.1470 -5.9225
 -5.7244 -5.5477 -5.3878 -5.2412 -5.0538 -4.7709 -4.5681 -4.1798 -3.7933
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  u   
 -9.0489 -9.0114 -8.9604 -8.8919 -8.7980 -8.6566 -8.3899 -7.9675 -7.5261 -7.1460
 -6.8656 -6.6606 -6.5023 -6.3675 -6.2427 -5.9055 -5.4980 -5.0479 -4.6090
 -8.5497 -8.5155 -8.4699 -8.4103 -8.3312 -8.2160 -8.0122 -7.6911 -7.3250 -6.9909
