 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -0.6408 -0.5812 -0.5132 -0.4498 -0.3916 -0.2635 -0.1576 -0.0742 -0.0119  0.0325
  0.0625  0.0814  0.0914  0.0951  0.0948  0.0921  0.0871  0.0802  0.0714  0.0595
  0.0437
 -1.8092 -1.6276 -1.4583 -1.3002 -1.1545 -1.0233 -0.9081 -0.8085 -0.7232 -0.6496
 -0.5861 -0.5317 -0.4827 -0.4339 -0.3847 -0.2633 -0.1584 -0.0747 -0.0117  0.0334
  0.0635  0.0817  0.0902  0.0915  0.0880  0.0817  0.0734  0.0636  0.0525  0.0398
  0.0247
 -1.8253 -1.6441 -1.4757 -1.3190 -1.1735 -1.0403 -0.9203 -0.8139 -0.7206 -0.6390
 -0.5671 -0.5037 -0.4480 -0.3993 -0.3561 -0.2561 -0.1583 -0.0748 -0.0109  0.0352
  0.0660  0.0841  0.0918  0.0913  0.0849  0.0749  0.0628  0.0494  0.0352  0.0200
  0.0046
 -1.8464 -1.6625 -1.4933 -1.3384 -1.1933 -1.0600 -0.9382 -0.8283 -0.7302 -0.6430
 -0.5658 -0.4972 -0.4360 -0.3817 -0.3058 -0.2419 -0.1573 -0.0745 -0.0095
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  G   
 -2.1304 -1.8926 -1.6915 -1.5236 -1.3551 -1.2080 -1.0857 -0.9807 -0.8831 -0.7975
 -0.7156 -0.6379 -0.5649 -0.4968 -0.4331 -0.2914 -0.1739 -0.0777  0.0001
 -2.1711 -1.9326 -1.7104 -1.5175 -1.3502 -1.1960 -1.0675 -0.9593 -0.8600 -0.7737
 -0.6924 -0.6159 -0.5441 -0.4768 -0.4137 -0.2747 -0.1608 -0.0695  0.0020  0.0574
 -2.0120 -1.9661 -1.7388 -1.5368 -1.3571 -1.1965 -1.0592 -0.9458 -0.8459 -0.7577
 -0.6773 -0.6020 -0.5315 -0.4652 -0.4030 -0.2659 -0.1541 -0.0656  0.0026  0.0545
  0.0936
 -1.8775 -1.8893 -1.7658 -1.5664 -1.3755 -1.2094 -1.0626 -0.9403 -0.8375 -0.7467
 -0.6668 -0.5927 -0.5233 -0.4583 -0.3971 -0.2617 -0.1512 -0.0642  0.0020  0.0518
  0.0891  0.1169
 -1.7849 -1.6564 -1.6535 -1.5739 -1.4009 -1.2282 -1.0758 -0.9442 -0.8344 -0.7409
 -0.6592 -0.5859 -0.5177 -0.4538 -0.3936 -0.2601 -0.1506 -0.0644  0.0008  0.0491
  0.0849  0.1111  0.1300  0.1436
