 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Btycho
 -4.0039 -3.8659 -3.7499 -3.6535 -3.5745 -3.5097 -3.4555 -3.4085 -3.3669 -3.3299
 -3.2971
-10.0815 -9.3677 -8.7315 -8.1767 -7.7073 -7.3139 -6.9858 -6.7109 -6.4781 -6.2788
 -6.1054 -5.9515 -5.8111 -5.6799 -5.5550 -5.2485 -4.9195 -4.6158 -4.3745 -4.1800
 -4.0175 -3.8804 -3.7661 -3.6723 -3.5966 -3.5361 -3.4874 -3.4467 -3.4115 -3.3805
 -3.3530
-10.5356 -9.8034 -9.1319 -8.5317 -8.0057 -7.5592 -7.1828 -6.8657 -6.5967 -6.3657
 -6.1648 -5.9876 -5.8286 -5.6832 -5.5074 -5.2413 -4.9612 -4.6491 -4.3966
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =Btycho
-10.3578-10.2657-10.1629-10.0339 -9.8542 -9.5782 -9.1359 -8.5248 -7.9456 -7.4911
 -7.1540 -6.8851 -6.6523 -6.4383 -6.2398 -5.7932 -5.4059 -5.0558 -4.7289
 -9.8050 -9.7013 -9.5938 -9.4700 -9.3093 -9.0781 -8.7156 -8.2068 -7.6916 -7.2704
