 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.0668  1.0479  1.0838  1.1174  1.1425  1.1631  1.1779  1.1880  1.1953  1.2031
  1.2076  1.2096  1.2085  1.2033  1.1939  1.1545  1.1000  1.0352  0.9622  0.8827
  0.7975
  1.1349  1.1171  1.0809  1.1094  1.1374  1.1572  1.1716  1.1808  1.1869  1.1925
  1.1968  1.1982  1.1968  1.1916  1.1823  1.1427  1.0876  1.0225  0.9498  0.8714
  0.7881  0.7010
  1.1958  1.1977  1.1697  1.1211  1.1336  1.1552  1.1692  1.1777  1.1822  1.1850
  1.1883  1.1893  1.1876  1.1825  1.1735  1.1342  1.0788  1.0134  0.9408  0.8629
  0.7808  0.6952  0.6078  0.5203
  1.2188  1.2216  1.2238  1.2106  1.1725  1.1564  1.1694  1.1782  1.1815  1.1820
  1.1823  1.1826  1.1805  1.1754  1.1668  1.1282  1.0726  1.0071  0.9345  0.8568
  0.7754  0.6908  0.6044  0.5177  0.4310  0.3440  0.2556  0.1655  0.0759 -0.0107
  1.2486  1.2433  1.2441  1.2444  1.2370  1.2162  1.1885  1.1810  1.1839  1.1832
  1.1803  1.1780  1.1753  1.1701  1.1617  1.1242  1.0686  1.0028  0.9303  0.8528
  0.7717  0.6876  0.6017  0.5155  0.4297  0.3441  0.2580  0.1711  0.0834 -0.0043
 -0.0892
  1.2881  1.2715  1.2650  1.2624  1.2596  1.2527  1.2397  1.2200  1.1994  1.1885
  1.1832  1.1771  1.1722  1.1664  1.1582  1.1219  1.0666  1.0006  0.9280  0.8507
  0.7697  0.6858  0.6001  0.5138  0.4281  0.3432  0.2585  0.1740  0.0890  0.0029
 -0.0832
  1.3301  1.3075  1.2920  1.2829  1.2765  1.2700  1.2612  1.2494  1.2342  1.2161
  1.1980  1.1837  1.1730  1.1648  1.1561  1.1207  1.0659  0.9997  0.9268  0.8494
  0.7683  0.6843  0.5983  0.5115  0.4253  0.3402  0.2559  0.1723  0.0890  0.0055
 -0.0788
  1.3819  1.3498  1.3259  1.3094  1.2973  1.2869  1.2765  1.2651  1.2518  1.2370
  1.2207  1.2030  1.1854  1.1698  1.1572  1.1211  1.0674  1.0013  0.9286  0.8513
  0.7702  0.6861  0.5999  0.5125  0.4255  0.3397  0.2551  0.1718  0.0893  0.0074
 -0.0745
  1.4363  1.3963  1.3650  1.3415  1.3234  1.3081  1.2940  1.2801  1.2655  1.2501
  1.2340  1.2170  1.1994  1.1812  1.1642  1.1229  1.0700  1.0044  0.9318  0.8547
  0.7738  0.6897  0.6033  0.5155  0.4275  0.3405  0.2549  0.1710  0.0885  0.0072
 -0.0729
  1.4931  1.4470  1.4088  1.3779  1.3540  1.3340  1.3158  1.2985  1.2811  1.2636
  1.2458  1.2275  1.2090  1.1902  1.1771  1.1261  1.0737  1.0090  0.9364
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  J   
  1.0736  1.1066  1.1319  1.1503  1.1773  1.2005  1.2167  1.2270  1.2358  1.2410
  1.2446  1.2466  1.2462  1.2422  1.2344  1.1999  1.1491  1.0852  1.0105
  1.0459  1.0834  1.1151  1.1404  1.1607  1.1822  1.1978  1.2079  1.2174  1.2233
  1.2268  1.2282  1.2269  1.2221  1.2136  1.1769  1.1247  1.0612  0.9882  0.9080
  1.0908  1.0624  1.1010  1.1301  1.1518  1.1710  1.1859  1.1956  1.2025  1.2099
  1.2131  1.2139  1.2122  1.2072  1.1985  1.1611  1.1080  1.0443  0.9721  0.8935
  0.8096
  1.1415  1.0735  1.0880  1.1214  1.1471  1.1644  1.1785  1.1877  1.1934  1.1990
  1.2021  1.2025  1.2005  1.1955  1.1869  1.1498  1.0964  1.0324  0.9604  0.8828
  0.8005  0.7142
  1.1891  1.1795  1.1209  1.1163  1.1429  1.1631  1.1757  1.1838  1.1881  1.1904
  1.1934  1.1933  1.1910  1.1859  1.1777  1.1414  1.0879  1.0238  0.9520  0.8748
  0.7936  0.7088  0.6216  0.5331
  1.2083  1.2149  1.2116  1.1747  1.1455  1.1618  1.1763  1.1836  1.1866  1.1869
  1.1866  1.1862  1.1834  1.1783  1.1703  1.1350  1.0818  1.0177  0.9460  0.8691
  0.7885  0.7047  0.6187  0.5315  0.4443  0.3562  0.2664  0.1757  0.0856 -0.0015
  1.2305  1.2331  1.2375  1.2360  1.2175  1.1846  1.1780  1.1861  1.1886  1.1871
  1.1841  1.1812  1.1778  1.1723  1.1644  1.1303  1.0776  1.0134  0.9419  0.8652
  0.7849  0.7018  0.6165  0.5301  0.4438  0.3576  0.2709  0.1829  0.0937  0.0055
 -0.0799
  1.2616  1.2545  1.2549  1.2558  1.2532  1.2424  1.2216  1.2001  1.1931  1.1913
  1.1860  1.1796  1.1742  1.1682  1.1601  1.1270  1.0750  1.0109  0.9394  0.8629
  0.7829  0.7000  0.6151  0.5291  0.4431  0.3577  0.2721  0.1861  0.0997  0.0132
 -0.0735
  1.2942  1.2829  1.2759  1.2728  1.2698  1.2644  1.2548  1.2405  1.2221  1.2047
  1.1929  1.1836  1.1740  1.1660  1.1574  1.1249  1.0737  1.0095  0.9378  0.8613
  0.7812  0.6983  0.6134  0.5273  0.4412  0.3557  0.2708  0.1864  0.1020  0.0172
 -0.0684
  1.3383  1.3176  1.3030  1.2939  1.2871  1.2799  1.2711  1.2601  1.2465  1.2307
  1.2134  1.1964  1.1811  1.1678  1.1567  1.1243  1.0745  1.0107  0.9391  0.8627
  0.7827  0.6997  0.6147  0.5285  0.4420  0.3562  0.2712  0.1871  0.1036  0.0203
 -0.0627
  1.3861  1.3580  1.3362  1.3201  1.3084  1.2978  1.2867  1.2745  1.2609  1.2460
  1.2299  1.2128  1.1952  1.1776  1.1613  1.1248  1.0763  1.0133  0.9419  0.8657
  0.7859  0.7030  0.6178  0.5313  0.4443  0.3577  0.2720  0.1875  0.1041  0.0216
 -0.0601
  1.4376  1.4041  1.3754  1.3506  1.3338  1.3195  1.3055  1.2908  1.2752  1.2589
  1.2419  1.2242  1.2061  1.1877  1.1712  1.1264  1.0791  1.0173  0.9462
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  J   
  1.1061  1.1288  1.1474  1.1623  1.1903  1.2109  1.2256  1.2365  1.2441  1.2489
  1.2513  1.2517  1.2500  1.2451  1.2370  1.2040  1.1517  1.0899  1.0173
  1.0737  1.1061  1.1321  1.1523  1.1718  1.1921  1.2065  1.2161  1.2260  1.2314
  1.2337  1.2337  1.2315  1.2264  1.2180  1.1825  1.1316  1.0695  0.9979  0.9185
  1.0475  1.0828  1.1168  1.1428  1.1601  1.1795  1.1941  1.2033  1.2111  1.2179
  1.2200  1.2196  1.2170  1.2117  1.2033  1.1675  1.1160  1.0537  0.9827  0.9049
  0.8220
  1.1321  1.0694  1.1023  1.1338  1.1565  1.1719  1.1860  1.1948  1.2004  1.2066
  1.2088  1.2081  1.2052  1.1999  1.1916  1.1565  1.1049  1.0425  0.9717  0.8948
  0.8134  0.7280
  1.1819  1.1393  1.0998  1.1259  1.1523  1.1702  1.1815  1.1900  1.1944  1.1965
  1.1996  1.1986  1.1954  1.1900  1.1820  1.1479  1.0968  1.0343  0.9638  0.8874
  0.8068  0.7229  0.6361  0.5474
  1.2028  1.2084  1.1856  1.1368  1.1490  1.1694  1.1821  1.1888  1.1917  1.1921
  1.1918  1.1911  1.1875  1.1818  1.1739  1.1410  1.0906  1.0283  0.9579  0.8819
  0.8020  0.7190  0.6335  0.5463  0.4583  0.3698  0.2795  0.1872  0.0968  0.0090
