 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.3552 -0.2492 -0.1581 -0.0763 -0.0016  0.0681  0.1347  0.1984  0.2580  0.3121
  0.3596  0.4000  0.4335  0.4604  0.4809  0.5160  0.5484  0.5783  0.5933  0.5930
  0.5793  0.5543  0.5201  0.4793  0.4352  0.3902  0.3453  0.3007  0.2562  0.2113
  0.1663
 -0.3412 -0.2243 -0.1278 -0.0438  0.0308  0.0975  0.1582  0.2154  0.2697  0.3213
  0.3690  0.4116  0.4488  0.4803  0.5062  0.5485  0.5729  0.5909  0.6023
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.9636 -0.7657 -0.5919 -0.4449 -0.3066 -0.1845 -0.0924 -0.0139  0.0560  0.1179
  0.1759  0.2308  0.2821  0.3302  0.3753  0.4765  0.5552  0.6124  0.6513
 -0.9290 -0.7996 -0.6125 -0.4479 -0.3064 -0.1798 -0.0828 -0.0009  0.0695  0.1311
  0.1875  0.2401  0.2893  0.3355  0.3791  0.4762  0.5535  0.6073  0.6359  0.6414
 -0.8349 -0.7947 -0.6362 -0.4646 -0.3138 -0.1828 -0.0759  0.0092  0.0798  0.1422
  0.1969  0.2474  0.2944  0.3386  0.3804  0.4737  0.5478  0.5982  0.6238  0.6277
  0.6151
 -0.6967 -0.6225 -0.6130 -0.4811 -0.3289 -0.1936 -0.0782  0.0144  0.0887  0.1519
  0.2058  0.2544  0.2994  0.3416  0.3814  0.4706  0.5421  0.5903  0.6140  0.6172
  0.6050  0.5821
 -0.5913 -0.4687 -0.4199 -0.4284 -0.3376 -0.2071 -0.0879  0.0130  0.0940  0.1592
  0.2144  0.2620  0.3053  0.3456  0.3834  0.4682  0.5370  0.5837  0.6063  0.6090
  0.5971  0.5747  0.5456  0.5131
 -0.5708 -0.4350 -0.3181 -0.2461 -0.2351 -0.2000 -0.0984  0.0051  0.0935  0.1644
  0.2224  0.2703  0.3125  0.3511  0.3872  0.4675  0.5331  0.5784  0.6004  0.6029
  0.5911  0.5690  0.5400  0.5070  0.4710  0.4318  0.3878  0.3382  0.2862  0.2352
 -0.5508 -0.4200 -0.2959 -0.1869 -0.1060 -0.0636 -0.0459  0.0048  0.0874  0.1647
  0.2275  0.2786  0.3208  0.3584  0.3929  0.4690  0.5311  0.5747  0.5963  0.5988
  0.5871  0.5651  0.5358  0.5023  0.4662  0.4275  0.3855  0.3398  0.2899  0.2368
  0.1845
 -0.5274 -0.4033 -0.2845 -0.1730 -0.0733  0.0075  0.0655  0.1011  0.1266  0.1691
  0.2292  0.2846  0.3295  0.3669  0.4006  0.4730  0.5316  0.5731  0.5942  0.5969
  0.5853  0.5631  0.5334  0.4988  0.4617  0.4228  0.3816  0.3382  0.2913  0.2402
  0.1858
 -0.5027 -0.3816 -0.2683 -0.1621 -0.0630  0.0266  0.1029  0.1641  0.2104  0.2433
  0.2695  0.3006  0.3400  0.3775  0.4105  0.4801  0.5354  0.5746  0.5947  0.5973
  0.5855  0.5630  0.5325  0.4966  0.4579  0.4177  0.3760  0.3326  0.2875  0.2395
  0.1878
 -0.4833 -0.3609 -0.2493 -0.1475 -0.0534  0.0337  0.1131  0.1830  0.2420  0.2903
  0.3287  0.3579  0.3813  0.4044  0.4280  0.4887  0.5410  0.5781  0.5975  0.6001
  0.5886  0.5660  0.5349  0.4977  0.4571  0.4150  0.3719  0.3280  0.2829  0.2363
  0.1876
 -0.4672 -0.3427 -0.2304 -0.1291 -0.0380  0.0446  0.1205  0.1902  0.2528  0.3075
  0.3540  0.3925  0.4238  0.4486  0.4685  0.5083  0.5497  0.5843  0.6028  0.6055
  0.5944  0.5719  0.5404  0.5022  0.4597  0.4152  0.3699  0.3242  0.2782  0.2315
  0.1844
 -0.4546 -0.3271 -0.2127 -0.1112 -0.0196  0.0614  0.1337  0.1995  0.2600  0.3152
  0.3645  0.4074  0.4441  0.4747  0.5320  0.5389  0.5615  0.5932  0.6106
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.9119 -0.7164 -0.5523 -0.4166 -0.2799 -0.1637 -0.0713  0.0042  0.0732  0.1332
  0.1900  0.2435  0.2935  0.3400  0.3834  0.4805  0.5573  0.6152  0.6569
 -0.9539 -0.7571 -0.5741 -0.4167 -0.2820 -0.1598 -0.0620  0.0160  0.0862  0.1460
  0.2012  0.2526  0.3005  0.3452  0.3873  0.4810  0.5570  0.6121  0.6443  0.6543
 -0.8127 -0.7884 -0.6003 -0.4352 -0.2903 -0.1630 -0.0575  0.0254  0.0954  0.1568
  0.2105  0.2599  0.3057  0.3485  0.3889  0.4791  0.5525  0.6049  0.6341  0.6419
  0.6324
 -0.6905 -0.7174 -0.6224 -0.4597 -0.3052 -0.1738 -0.0603  0.0306  0.1035  0.1662
  0.2192  0.2669  0.3108  0.3516  0.3901  0.4765  0.5475  0.5982  0.6258  0.6325
  0.6231  0.6018
 -0.6018 -0.5045 -0.5173 -0.4622 -0.3242 -0.1872 -0.0691  0.0297  0.1087  0.1731
  0.2278  0.2744  0.3167  0.3557  0.3923  0.4744  0.5428  0.5922  0.6190  0.6252
  0.6158  0.5951  0.5665  0.5328
 -0.5857 -0.4437 -0.3407 -0.3183 -0.3052 -0.2005 -0.0821  0.0219  0.1087  0.1783
  0.2355  0.2826  0.3238  0.3613  0.3961  0.4737  0.5390  0.5871  0.6135  0.6196
  0.6103  0.5900  0.5617  0.5284  0.4920  0.4513  0.4053  0.3549  0.3021  0.2501
 -0.5803 -0.4333 -0.3029 -0.2003 -0.1460 -0.1349 -0.0841  0.0114  0.1022  0.1788
  0.2405  0.2907  0.3321  0.3686  0.4019  0.4753  0.5370  0.5832  0.6093  0.6156
  0.6064  0.5863  0.5582  0.5247  0.4881  0.4490  0.4064  0.3590  0.3067  0.2526
  0.1994
 -0.5755 -0.4301 -0.2970 -0.1789 -0.0810 -0.0124  0.0240  0.0480  0.1000  0.1741
  0.2415  0.2962  0.3405  0.3771  0.4096  0.4794  0.5373  0.5812  0.6067  0.6132
  0.6044  0.5842  0.5561  0.5222  0.4850  0.4456  0.4033  0.3579  0.3092  0.2571
  0.2017
 -0.5736 -0.4262 -0.2937 -0.1747 -0.0686  0.0219  0.0931  0.1443  0.1784  0.2072
  0.2476  0.3000  0.3479  0.3869  0.4193  0.4867  0.5410  0.5823  0.6065  0.6129
  0.6041  0.5838  0.5552  0.5207  0.4825  0.4421  0.3997  0.3553  0.3086  0.2586
  0.2047
 -0.5744 -0.4246 -0.2911 -0.1723 -0.0667  0.0274  0.1095  0.1780  0.2326  0.2750
  0.3072  0.3345  0.3637  0.3977  0.4296  0.4950  0.5466  0.5853  0.6083  0.6147
  0.6063  0.5860  0.5572  0.5220  0.4827  0.4409  0.3974  0.3525  0.3060  0.2574
  0.2068
 -0.5824 -0.4269 -0.2896 -0.1689 -0.0630  0.0303  0.1131  0.1865  0.2496  0.3027
  0.3465  0.3818  0.4102  0.4339  0.4563  0.5072  0.5546  0.5910  0.6128  0.6190
  0.6109  0.5909  0.5619  0.5261  0.4856  0.4421  0.3968  0.3505  0.3032  0.2549
  0.2054
 -0.5975 -0.4330 -0.2867 -0.1670 -0.0583  0.0359  0.1179  0.1905  0.2551  0.3121
  0.3615  0.4034  0.4385  0.4675  0.4994  0.5233  0.5650  0.5994  0.6200
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.8406 -0.6674 -0.5174 -0.3884 -0.2516 -0.1418 -0.0541  0.0211  0.0876  0.1481
  0.2044  0.2570  0.3059  0.3514  0.3938  0.4873  0.5655  0.6239  0.6625
 -0.9133 -0.7106 -0.5369 -0.3894 -0.2573 -0.1387 -0.0447  0.0313  0.1009  0.1604
  0.2151  0.2658  0.3127  0.3565  0.3975  0.4884  0.5627  0.6183  0.6532  0.6669
