 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  w   
 -1.1040 -0.9532 -0.8178 -0.7010 -0.6026 -0.4209 -0.2940 -0.2009 -0.1338 -0.0861
 -0.0528 -0.0300 -0.0148 -0.0042  0.0037  0.0095  0.0126  0.0130  0.0092 -0.0007
 -0.0164
 -2.5861 -2.3450 -2.1260 -1.9323 -1.7655 -1.6218 -1.4939 -1.3743 -1.2551 -1.1347
 -1.0196 -0.9087 -0.8006 -0.6978 -0.6045 -0.4230 -0.2956 -0.2025 -0.1356 -0.0887
 -0.0570 -0.0367 -0.0246 -0.0175 -0.0130 -0.0099 -0.0084 -0.0086 -0.0111 -0.0182
 -0.0317
 -2.6015 -2.3515 -2.1163 -1.8998 -1.7061 -1.5370 -1.3900 -1.2593 -1.1380 -1.0212
 -0.9112 -0.8141 -0.7316 -0.6580 -0.5873 -0.4225 -0.2951 -0.2019 -0.1350 -0.0886
 -0.0582 -0.0400 -0.0309 -0.0278 -0.0274 -0.0281 -0.0295 -0.0316 -0.0351 -0.0410
 -0.0510
 -2.6324 -2.3808 -2.1397 -1.9114 -1.7001 -1.5105 -1.3447 -1.2006 -1.0736 -0.9589
 -0.8533 -0.7574 -0.6734 -0.6027 -0.5433 -0.4144 -0.2950 -0.2014 -0.1339 -0.0871
 -0.0571 -0.0402 -0.0335 -0.0339 -0.0380 -0.0432 -0.0487 -0.0542 -0.0599 -0.0670
 -0.0755
 -2.6575 -2.4089 -2.1705 -1.9384 -1.7195 -1.5175 -1.3374 -1.1804 -1.0447 -0.9265
 -0.8221 -0.7289 -0.6459 -0.5732 -0.5107 -0.3906 -0.2894 -0.1995 -0.1314 -0.0840
 -0.0537 -0.0374 -0.0321 -0.0352 -0.0434 -0.0534 -0.0638 -0.0737 -0.0831 -0.0925
 -0.1052
 -2.6768 -2.4309 -2.1929 -1.9650 -1.7448 -1.5386 -1.3508 -1.1848 -1.0410 -0.9173
 -0.8101 -0.7165 -0.6339 -0.5609 -0.4895 -0.3511 -0.2783 -0.1962 -0.1275
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  w   
 -3.8538 -3.7575 -3.6640 -3.5622 -3.4083 -3.1807 -2.8680 -2.4614 -1.9881 -1.5764
 -1.2625 -1.0321 -0.8633 -0.7357 -0.6345 -0.4442 -0.3032 -0.1934 -0.1056
 -3.5876 -3.4710 -3.3654 -3.2611 -3.1424 -2.9819 -2.7300 -2.3372 -1.9173 -1.5369
 -1.2348 -1.0076 -0.8391 -0.7117 -0.6115 -0.4258 -0.2901 -0.1865 -0.1067 -0.0452
 -3.3724 -3.2331 -3.1109 -2.9986 -2.8856 -2.7516 -2.5543 -2.2379 -1.8744 -1.5267
 -1.2347 -1.0072 -0.8348 -0.7041 -0.6021 -0.4172 -0.2845 -0.1846 -0.1091 -0.0515
 -0.0078
 -3.2049 -3.0433 -2.9020 -2.7761 -2.6592 -2.5385 -2.3866 -2.1416 -1.8352 -1.5228
 -1.2458 -1.0195 -0.8428 -0.7069 -0.6015 -0.4147 -0.2834 -0.1855 -0.1128 -0.0581
 -0.0167  0.0142
 -3.0673 -2.8919 -2.7355 -2.5953 -2.4674 -2.3458 -2.2172 -2.0352 -1.7851 -1.5128
 -1.2561 -1.0359 -0.8573 -0.7167 -0.6066 -0.4156 -0.2847 -0.1880 -0.1170 -0.0645
 -0.0252  0.0039  0.0252  0.0411
 -2.8746 -2.7203 -2.5775 -2.4406 -2.3091 -2.1818 -2.0555 -1.9140 -1.7183 -1.4881
 -1.2578 -1.0496 -0.8734 -0.7299 -0.6156 -0.4185 -0.2872 -0.1910 -0.1210 -0.0701
 -0.0327 -0.0057  0.0136  0.0273  0.0370  0.0432  0.0455  0.0435  0.0361  0.0237
 -2.7177 -2.5225 -2.3627 -2.2322 -2.1196 -2.0129 -1.9010 -1.7772 -1.6286 -1.4434
 -1.2445 -1.0548 -0.8862 -0.7437 -0.6265 -0.4226 -0.2900 -0.1940 -0.1243 -0.0744
 -0.0389 -0.0138  0.0030  0.0141  0.0216  0.0263  0.0282  0.0271  0.0218  0.0110
 -0.0054
 -2.6668 -2.4382 -2.2373 -2.0673 -1.9261 -1.8063 -1.6982 -1.5928 -1.4767 -1.3419
 -1.1920 -1.0371 -0.8881 -0.7536 -0.6375 -0.4275 -0.2925 -0.1962 -0.1265 -0.0772
