 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -1.3272 -1.2550 -1.1968 -1.1477 -1.1037 -1.0627 -1.0242 -0.9879 -0.9545 -0.9247
 -0.8999
 -6.2561 -5.7011 -5.1924 -4.7433 -4.3551 -4.0252 -3.7476 -3.5139 -3.3156 -3.1450
 -2.9953 -2.8609 -2.7377 -2.6229 -2.5133 -2.2313 -1.9455 -1.7146 -1.5459 -1.4228
 -1.3308 -1.2605 -1.2062 -1.1626 -1.1253 -1.0913 -1.0593 -1.0287 -0.9997 -0.9732
 -0.9496
 -6.3852 -5.8418 -5.3393 -4.8784 -4.4722 -4.1217 -3.8234 -3.5704 -3.3549 -3.1698
 -3.0083 -2.8649 -2.7348 -2.6143 -2.5006 -2.2345 -1.9714 -1.7360 -1.5577 -1.4284
 -1.3338 -1.2636 -1.2111 -1.1714 -1.1400 -1.1129 -1.0880 -1.0641 -1.0412 -1.0193
 -0.9992
 -6.4560 -5.9503 -5.4651 -5.0147 -4.6043 -4.2430 -3.9299 -3.6599 -3.4276 -3.2265
 -3.0506 -2.8947 -2.7545 -2.6264 -2.4971 -2.2235 -1.9985 -1.7636 -1.5737
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  g   
 -8.0405 -7.8532 -7.6655 -7.4596 -7.2591 -6.9218 -6.3425 -5.5473 -4.8934 -4.2765
 -3.8949 -3.5980 -3.3519 -3.1401 -2.9523 -2.5628
 -7.4875 -7.2679 -7.0587 -6.8426 -6.6097 -6.2852 -5.7908 -5.1281 -4.5146 -4.0452
 -3.6926 -3.4110 -3.1733 -2.9664 -2.7830 -2.4089 -2.1176 -1.8717 -1.6540
 -7.0405 -6.7865 -6.5507 -6.3191 -6.0689 -5.7641 -5.3471 -4.8012 -4.2877 -3.8723
 -3.5453 -3.2777 -3.0480 -2.8455 -2.6651 -2.2991 -2.0221 -1.7978 -1.6057 -1.4384
 -1.2944
 -6.6995 -6.4090 -6.1415 -5.8891 -5.6366 -5.3585 -5.0114 -4.5666 -4.1301 -3.7578
 -3.4530 -3.1981 -2.9760 -2.7774 -2.5986 -2.2334 -1.9622 -1.7502 -1.5738 -1.4221
 -1.2909 -1.1786 -1.0815
 -6.4506 -6.1278 -5.8276 -5.5487 -5.2843 -5.0206 -4.7317 -4.3737 -4.0032 -3.6716
 -3.3897 -3.1490 -2.9364 -2.7430 -2.5659 -2.1986 -1.9271 -1.7210 -1.5544 -1.4138
 -1.2929 -1.1885 -1.0974 -1.0173 -0.9465
 -6.2222 -5.8955 -5.5867 -5.2921 -5.0116 -4.7457 -4.4860 -4.1995 -3.8888 -3.5967
 -3.3393 -3.1147 -2.9138 -2.7283 -2.5549 -2.1852 -1.9094 -1.7044 -1.5437 -1.4109
 -1.2983 -1.2014 -1.1171 -1.0425 -0.9759 -0.9158
 -6.0228 -5.6339 -5.3046 -5.0200 -4.7632 -4.5172 -4.2750 -4.0344 -3.7779 -3.5247
 -3.2926 -3.0853 -2.8979 -2.7231 -2.5562 -2.1863 -1.9042 -1.6969 -1.5387 -1.4114
 -1.3054 -1.2151 -1.1370 -1.0679 -1.0056 -0.9490 -0.8979 -0.8520 -0.8137 -0.7911
 -5.9758 -5.5216 -5.1266 -4.7907 -4.5042 -4.2555 -4.0371 -3.8400 -3.6453 -3.4443
 -3.2451 -3.0569 -2.8831 -2.7202 -2.5629 -2.1978 -1.9087 -1.6960 -1.5375 -1.4134
 -1.3124 -1.2282 -1.1562 -1.0929 -1.0358 -0.9836 -0.9362 -0.8929 -0.8547 -0.8245
 -0.8093
 -6.0334 -5.5316 -5.0884 -4.7048 -4.3788 -4.1028 -3.8667 -3.6613 -3.4782 -3.3119
