 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -6.9801 -6.3809 -5.8727 -5.4542 -5.1109 -4.8207 -4.5658 -4.3338 -4.1155 -3.9033
 -3.6934 -3.4945 -3.3165 -3.1608 -3.0247 -2.7471 -2.5379 -2.3871 -2.2804 -2.2018
 -2.1425 -2.0969 -2.0606 -2.0299 -2.0030 -1.9795 -1.9596 -1.9444 -1.9356 -1.9355
 -1.9421
 -6.9827 -6.3378 -5.7746 -5.3027 -4.9178 -4.6031 -4.3388 -4.1080 -3.9020 -3.7225
 -3.5703 -3.4342 -3.2997 -3.1647 -3.0363 -2.7622 -2.5498 -2.3935 -2.2830 -2.2041
 -2.1464 -2.1038 -2.0716 -2.0456 -2.0230 -2.0029 -1.9854 -1.9708 -1.9599 -1.9556
 -1.9604
 -7.0364 -6.3708 -5.7751 -5.2637 -4.8411 -4.4986 -4.2202 -3.9880 -3.7887 -3.6146
 -3.4638 -3.3361 -3.2279 -3.1290 -3.0283 -2.7756 -2.5621 -2.4006 -2.2853 -2.2045
 -2.1473 -2.1069 -2.0784 -2.0573 -2.0398 -2.0243 -2.0105 -1.9983 -1.9885 -1.9822
 -1.9818
 -7.0846 -6.4375 -5.8308 -5.2979 -4.8470 -4.4783 -4.1809 -3.9389 -3.7382 -3.5675
 -3.4196 -3.2906 -3.1784 -3.0809 -2.9939 -2.7835 -2.5780 -2.4120 -2.2907 -2.2058
 -2.1473 -2.1077 -2.0817 -2.0648 -2.0526 -2.0425 -2.0335 -2.0253 -2.0181 -2.0130
 -2.0107
 -7.0999 -6.4823 -5.8995 -5.3622 -4.8987 -4.5110 -4.1944 -3.9379 -3.7284 -3.5535
 -3.4043 -3.2746 -3.1604 -3.0591 -2.9684 -2.7740 -2.5906 -2.4252 -2.2981 -2.2079
 -2.1464 -2.1060 -2.0811 -2.0671 -2.0597 -2.0551 -2.0518 -2.0487 -2.0459 -2.0436
 -2.0428
 -7.0901 -6.5068 -5.9518 -5.4383 -4.9763 -4.5803 -4.2489 -3.9767 -3.7532 -3.5681
 -3.4120 -3.2778 -3.1601 -3.0556 -2.9518 -2.7471 -2.5999 -2.4402 -2.3075
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =Vtycho
 -8.9700 -8.5998 -8.2673 -7.9663 -7.7020 -7.3363 -6.7203 -5.8346 -5.0033 -4.3739
 -3.9358 -3.6283 -3.4015 -3.2239 -3.0766 -2.7943 -2.5897 -2.4299 -2.2974
 -8.6178 -8.2011 -7.8330 -7.5082 -7.2061 -6.8583 -6.3184 -5.5834 -4.8643 -4.2891
 -3.8717 -3.5719 -3.3491 -3.1742 -3.0293 -2.7506 -2.5519 -2.4023 -2.2821 -2.1814
 -8.3897 -7.9272 -7.5149 -7.1513 -6.8244 -6.4874 -6.0267 -5.4147 -4.7919 -4.2619
 -3.8564 -3.5568 -3.3320 -3.1559 -3.0105 -2.7303 -2.5319 -2.3871 -2.2740 -2.1811
 -2.1046
 -8.2175 -7.7282 -7.2806 -6.8783 -6.5166 -6.1749 -5.7831 -5.2739 -4.7378 -4.2551
 -3.8646 -3.5648 -3.3361 -3.1567 -3.0095 -2.7257 -2.5241 -2.3800 -2.2709 -2.1831
 -2.1116 -2.0531
 -7.9129 -7.4781 -7.0560 -6.6534 -6.2735 -5.9148 -5.5583 -5.1375 -4.6791 -4.2472
 -3.8789 -3.5835 -3.3519 -3.1689 -3.0191 -2.7314 -2.5248 -2.3784 -2.2708 -2.1867
 -2.1190 -2.0642 -2.0188 -1.9797
 -7.4221 -6.9776 -6.6133 -6.2972 -5.9922 -5.6757 -5.3431 -4.9893 -4.6038 -4.2251
 -3.8865 -3.6026 -3.3724 -3.1871 -3.0349 -2.7436 -2.5317 -2.3807 -2.2727 -2.1906
 -2.1260 -2.0746 -2.0326 -1.9972 -1.9668 -1.9413 -1.9215 -1.9091 -1.9042 -1.9060
 -7.1839 -6.6459 -6.1983 -5.8344 -5.5323 -5.2673 -5.0177 -4.7561 -4.4676 -4.1650
 -3.8735 -3.6130 -3.3912 -3.2070 -3.0536 -2.7594 -2.5432 -2.3864 -2.2757 -2.1943
 -2.1320 -2.0834 -2.0450 -2.0132 -1.9860 -1.9627 -1.9434 -1.9291 -1.9214 -1.9218
 -1.9289
 -7.1388 -6.5372 -6.0161 -5.5810 -5.2244 -4.9265 -4.6657 -4.4240 -4.1927 -3.9768
 -3.7748 -3.5802 -3.3933 -3.2225 -3.0725 -2.7773 -2.5579 -2.3952 -2.2798 -2.1974
 -2.1364 -2.0902 -2.0551 -2.0274 -2.0042 -1.9841 -1.9673 -1.9535 -1.9441 -1.9409
 -1.9463
 -7.1913 -6.5539 -5.9810 -5.4883 -5.0779 -4.7404 -4.4588 -4.2138 -3.9916 -3.7886
 -3.6099 -3.4583 -3.3261 -3.2011 -3.0764 -2.7936 -2.5725 -2.4049 -2.2841 -2.1990
 -2.1381 -2.0938 -2.0617 -2.0380 -2.0193 -2.0037 -1.9904 -1.9792 -1.9706 -1.9656
 -1.9667
 -7.2806 -6.6355 -6.0363 -5.5042 -5.0492 -4.6728 -4.3639 -4.1073 -3.8881 -3.6951
 -3.5242 -3.3751 -3.2481 -3.1398 -3.0429 -2.8079 -2.5907 -2.4190 -2.2920 -2.2022
 -2.1395 -2.0958 -2.0656 -2.0452 -2.0311 -2.0203 -2.0116 -2.0042 -1.9983 -1.9945
 -1.9938
 -7.3400 -6.7158 -6.1202 -5.5705 -5.0890 -4.6809 -4.3445 -4.0695 -3.8419 -3.6498
 -3.4838 -3.3388 -3.2119 -3.1015 -3.0052 -2.8009 -2.6071 -2.4347 -2.3021 -2.2065
 -2.1403 -2.0956 -2.0663 -2.0482 -2.0379 -2.0319 -2.0284 -2.0258 -2.0240 -2.0232
 -2.0238
 -7.3672 -6.7696 -6.1950 -5.6566 -5.1658 -4.7402 -4.3818 -4.0861 -3.8435 -3.6427
 -3.4734 -3.3279 -3.2009 -3.0890 -2.9633 -2.7726 -2.6217 -2.4520 -2.3144
