 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -6.5840 -6.2928 -6.0446 -5.8240 -5.6242 -5.1963
 -9.4287 -9.2601 -9.0894 -8.9049 -8.7020 -8.4299 -8.0354 -7.5197 -7.0315 -6.6338
 -6.3119 -6.0384 -5.7980 -5.5832 -5.3899 -4.9832 -4.6508 -4.3515 -4.0810
 -8.9308 -8.7400 -8.5519 -8.3582 -8.1450 -7.8907 -7.5584 -7.1362 -6.7340 -6.3907
 -6.1003 -5.8456 -5.6153 -5.4064 -5.2177 -4.8249 -4.5113 -4.2453 -4.0108 -3.8030
 -3.6239
 -8.5399 -8.3240 -8.1155 -7.9100 -7.6989 -7.4682 -7.1917 -6.8493 -6.5112 -6.2110
 -5.9492 -5.7144 -5.4965 -5.2936 -5.1076 -4.7214 -4.4212 -4.1745 -3.9624 -3.7755
 -3.6126 -3.4738 -3.3540
 -8.2673 -8.0176 -7.7830 -7.5594 -7.3423 -7.1249 -6.8924 -6.6166 -6.3316 -6.0689
 -5.8340 -5.6202 -5.4181 -5.2241 -5.0414 -4.6571 -4.3633 -4.1284 -3.9310 -3.7597
 -3.6102 -3.4813 -3.3697 -3.2719 -3.1832
 -8.1143 -7.8109 -7.5466 -7.3039 -7.0744 -6.8562 -6.6441 -6.4193 -6.1797 -5.9502
 -5.7399 -5.5464 -5.3623 -5.1813 -5.0045 -4.6204 -4.3281 -4.0998 -3.9121 -3.7522
 -3.6138 -3.4943 -3.3905 -3.2985 -3.2161 -3.1404
 -8.0924 -7.7066 -7.3747 -7.0927 -6.8523 -6.6424 -6.4475 -6.2550 -6.0526 -5.8510
 -5.6611 -5.4847 -5.3174 -5.1523 -4.9857 -4.6033 -4.3088 -4.0832 -3.9018 -3.7503
 -3.6209 -3.5097 -3.4133 -3.3280 -3.2508 -3.1803 -3.1160 -3.0552 -3.0011 -2.9670
 -8.1627 -7.7207 -7.3315 -6.9957 -6.7110 -6.4696 -6.2639 -6.0883 -5.9287 -5.7696
 -5.6049 -5.4406 -5.2822 -5.1288 -4.9759 -4.6006 -4.3010 -4.0749 -3.8973 -3.7515
 -3.6293 -3.5254 -3.4362 -3.3577 -3.2866 -3.2214 -3.1618 -3.1068 -3.0557 -3.0119
 -2.9863
 -8.3109 -7.8177 -7.3824 -7.0046 -6.6814 -6.4088 -6.1793 -5.9846 -5.8158 -5.6664
 -5.5318 -5.4018 -5.2641 -5.1181 -4.9710 -4.6088 -4.3029 -4.0729 -3.8962 -3.7542
 -3.6372 -3.5396 -3.4571 -3.3855 -3.3211 -3.2618 -3.2072 -3.1568 -3.1108 -3.0690
 -3.0356
 -8.5400 -7.9863 -7.5046 -7.0861 -6.7281 -6.4252 -6.1704 -5.9558 -5.7728 -5.6138
 -5.4718 -5.3425 -5.2213 -5.1004 -4.9701 -4.6218 -4.3104 -4.0741 -3.8959 -3.7559
 -3.6426 -3.5497 -3.4730 -3.4082 -3.3509 -3.2986 -3.2501 -3.2048 -3.1630 -3.1252
 -3.0922
 -8.8086 -8.2259 -7.6995 -7.2399 -6.8451 -6.5102 -6.2280 -5.9899 -5.7873 -5.6131
 -5.4599 -5.3218 -5.1938 -5.0724 -4.9543 -4.6428 -4.3306 -4.0844 -3.9012 -3.7605
 -3.6488 -3.5587 -3.4861 -3.4268 -3.3764 -3.3313 -3.2898 -3.2508 -3.2144 -3.1810
 -3.1509
 -9.0595 -8.4703 -7.9310 -7.4414 -7.0139 -6.6476 -6.3367 -6.0730 -5.8478 -5.6537
 -5.4840 -5.3328 -5.1951 -5.0666 -4.9442 -4.6522 -4.3593 -4.1026 -3.9107 -3.7665
 -3.6544 -3.5655 -3.4951 -3.4396 -3.3949 -3.3568 -3.3228 -3.2910 -3.2612 -3.2332
 -3.2075
 -9.2330 -8.6779 -8.1457 -7.6541 -7.2093 -6.8202 -6.4847 -6.1961 -5.9476 -5.7319
 -5.5426 -5.3745 -5.2229 -5.0840 -4.9398 -4.6500 -4.3965 -4.1287 -3.9244
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = BX   
-10.2143-10.0832 -9.9437 -9.7803 -9.6198 -9.3336 -8.8253 -8.1235 -7.5205 -6.9345
 -6.5594 -6.2620 -6.0127 -5.7948 -5.5989 -5.1801
 -9.6127 -9.4634 -9.3112 -9.1429 -8.9538 -8.6794 -8.2516 -7.6675 -7.1041 -6.6574
 -6.3123 -6.0306 -5.7890 -5.5759 -5.3847 -4.9835 -4.6547 -4.3651 -4.1009
 -9.1106 -8.9401 -8.7715 -8.5948 -8.3926 -8.1369 -7.7804 -7.3014 -6.8331 -6.4409
 -6.1234 -5.8572 -5.6241 -5.4157 -5.2279 -4.8374 -4.5261 -4.2623 -4.0293 -3.8214
 -3.6401
 -8.7080 -8.5133 -8.3246 -8.1360 -7.9363 -7.7062 -7.4117 -7.0252 -6.6318 -6.2850
 -5.9927 -5.7418 -5.5180 -5.3142 -5.1285 -4.7418 -4.4405 -4.1929 -3.9798 -3.7916
 -3.6258 -3.4833 -3.3595
 -8.4150 -8.1888 -7.9741 -7.7669 -7.5614 -7.3469 -7.1033 -6.7951 -6.4657 -6.1611
 -5.8947 -5.6611 -5.4491 -5.2519 -5.0686 -4.6823 -4.3852 -4.1473 -3.9472 -3.7734
 -3.6208 -3.4882 -3.3730 -3.2717 -3.1808
 -8.2389 -7.9679 -7.7216 -7.4910 -7.2700 -7.0553 -6.8381 -6.5923 -6.3189 -6.0540
 -5.8140 -5.5990 -5.4014 -5.2140 -5.0353 -4.6483 -4.3511 -4.1184 -3.9270 -3.7637
 -3.6218 -3.4985 -3.3915 -3.2974 -3.2133 -3.1368
 -8.1767 -7.8199 -7.5184 -7.2623 -7.0373 -6.8263 -6.6201 -6.4119 -6.1856 -5.9570
 -5.7423 -5.5460 -5.3640 -5.1894 -5.0187 -4.6324 -4.3320 -4.1013 -3.9155 -3.7598
 -3.6266 -3.5115 -3.4118 -3.3243 -3.2460 -3.1751 -3.1099 -3.0490 -2.9953 -2.9614
 -8.2256 -7.8013 -7.4291 -7.1111 -6.8406 -6.6083 -6.4074 -6.2293 -6.0539 -5.8687
 -5.6812 -5.5011 -5.3319 -5.1704 -5.0109 -4.6303 -4.3246 -4.0925 -3.9099 -3.7596
 -3.6331 -3.5252 -3.4325 -3.3516 -3.2794 -3.2137 -3.1541 -3.0990 -3.0483 -3.0049
 -2.9796
 -8.3560 -7.8770 -7.4528 -7.0835 -6.7679 -6.5005 -6.2729 -6.0768 -5.9046 -5.7489
