 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -0.3576 -0.3405 -0.3308 -0.3258 -0.3239 -0.3249 -0.3289 -0.3367 -0.3489 -0.3658
 -0.3870
 -2.1269 -1.9499 -1.7833 -1.6322 -1.5014 -1.3956 -1.3157 -1.2590 -1.2111 -1.1421
 -1.0538 -0.9725 -0.9038 -0.8434 -0.7873 -0.6638 -0.5624 -0.4835 -0.4259 -0.3860
 -0.3597 -0.3440 -0.3363 -0.3338 -0.3345 -0.3378 -0.3435 -0.3517 -0.3630 -0.3784
 -0.3991
 -2.1352 -1.9579 -1.7933 -1.6403 -1.5020 -1.3810 -1.2791 -1.1951 -1.1265 -1.0712
 -1.0216 -0.9650 -0.9000 -0.8393 -0.7838 -0.6620 -0.5617 -0.4831 -0.4254 -0.3855
 -0.3599 -0.3454 -0.3395 -0.3397 -0.3436 -0.3498 -0.3580 -0.3680 -0.3798 -0.3946
 -0.4134
 -2.1419 -1.9684 -1.8063 -1.6546 -1.5146 -1.3883 -1.2769 -1.1806 -1.0983 -1.0273
 -0.9665 -0.9148 -0.8685 -0.8224 -0.7758 -0.6609 -0.5617 -0.4832 -0.4249 -0.3844
 -0.3586 -0.3447 -0.3403 -0.3428 -0.3499 -0.3596 -0.3710 -0.3836 -0.3976 -0.4130
 -0.4308
 -2.1533 -1.9805 -1.8196 -1.6695 -1.5302 -1.4026 -1.2873 -1.1848 -1.0949 -1.0161
 -0.9469 -0.8862 -0.8331 -0.7869 -0.7461 -0.6524 -0.5607 -0.4826 -0.4236 -0.3821
 -0.3557 -0.3418 -0.3382 -0.3425 -0.3524 -0.3657 -0.3809 -0.3970 -0.4139 -0.4316
 -0.4494
 -2.1694 -1.9942 -1.8327 -1.6848 -1.5461 -1.4187 -1.3023 -1.1970 -1.1029 -1.0191
 -0.9448 -0.8789 -0.8204 -0.7686 -0.6947 -0.6365 -0.5587 -0.4813 -0.4215
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  G   
 -2.4752 -2.2425 -2.0460 -1.8822 -1.7177 -1.5744 -1.4555 -1.3537 -1.2592 -1.1762
 -1.0968 -1.0216 -0.9510 -0.8850 -0.8234 -0.6863 -0.5731 -0.4810 -0.4072
 -2.5159 -2.2824 -2.0650 -1.8766 -1.7134 -1.5632 -1.4383 -1.3335 -1.2372 -1.1537
