 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -0.8007
 -7.3756 -6.8230 -6.3557 -5.9607 -5.6277 -5.3489 -5.1180 -4.9287 -4.7744 -4.6472
 -4.5374 -4.4370 -4.3357 -4.2178 -4.0720 -3.6020 -3.0952 -2.6387 -2.2386 -1.8912
 -1.5997 -1.3653 -1.1850 -1.0535 -0.9637 -0.9049 -0.8667 -0.8408 -0.8220 -0.8075
 -0.7958
 -8.1751 -7.4681 -6.8665 -6.3602 -5.9347 -5.5774 -5.2771 -5.0250 -4.8137 -4.6350
 -4.4803 -4.3418 -4.2144 -4.0952 -3.9771 -3.6118 -3.1307 -2.6728 -2.2710 -1.9192
 -1.6181 -1.3712 -1.1780 -1.0343 -0.9343 -0.8695 -0.8297 -0.8057 -0.7913 -0.7825
 -0.7771
 -9.1618 -8.3185 -7.5752 -6.9322 -6.3888 -5.9314 -5.5467 -5.2222 -4.9468 -4.7122
 -4.5094 -4.3307 -4.1690 -4.0202 -3.8823 -3.5618 -3.1762 -2.7273 -2.3219 -1.9653
 -1.6552 -1.3947 -1.1862 -1.0271 -0.9129 -0.8373 -0.7913 -0.7653 -0.7522 -0.7470
 -0.7465
-10.1766 -9.2593 -8.4178 -7.6628 -6.9974 -6.4270 -5.9411 -5.5286 -5.1779 -4.8782
 -4.6200 -4.3950 -4.1955 -4.0156 -3.7876 -3.4520 -3.2317 -2.8022 -2.3913
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  U   
 -7.4273 -7.4419 -7.4419 -7.4211 -7.3741 -7.2944 -7.1756 -7.0210 -6.8591 -6.7003
 -6.5492 -6.3986 -6.2358 -6.0472 -5.8327 -5.2012 -4.5222 -3.8703 -3.2819
 -6.8803 -6.8945 -6.8979 -6.8854 -6.8523 -6.7943 -6.7057 -6.5829 -6.4405 -6.2918
 -6.1418 -5.9870 -5.8185 -5.6275 -5.4116 -4.7998 -4.1546 -3.5440 -3.0133 -2.5550
