 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1130W
 -2.2390 -2.3195 -2.3981 -2.4757 -2.5528 -2.7409 -2.9195 -3.0902 -3.2538 -3.4110
 -3.5629 -3.7086 -3.8485
 -1.4347 -1.5462 -1.6492 -1.7430 -1.8265 -1.8993 -1.9632 -2.0317 -2.1070 -2.1852
 -2.2642 -2.3423 -2.4186 -2.4939 -2.5693 -2.7573 -2.9372 -3.1085 -3.2725 -3.4292
 -3.5802 -3.7258 -3.8654 -3.9996 -4.1294
 -1.4197 -1.5403 -1.6529 -1.7561 -1.8490 -1.9297 -1.9980 -2.0624 -2.1340 -2.2094
 -2.2860 -2.3621 -2.4364 -2.5091 -2.5819 -2.7674 -2.9482 -3.1201 -3.2843 -3.4411
 -3.5915 -3.7367 -3.8762 -4.0103 -4.1396 -4.2648
 -1.3907 -1.5093 -1.6259 -1.7387 -1.8450 -1.9411 -2.0221 -2.0893 -2.1581 -2.2312
 -2.3060 -2.3806 -2.4534 -2.5240 -2.5937 -2.7742 -2.9549 -3.1275 -3.2919 -3.4490
 -3.5992 -3.7438 -3.8830 -4.0170 -4.1459 -4.2706 -4.3916 -4.5093 -4.6237 -4.7341
 -1.3778 -1.4903 -1.6006 -1.7097 -1.8166 -1.9192 -2.0143 -2.0962 -2.1701 -2.2451
 -2.3209 -2.3960 -2.4692 -2.5393 -2.6066 -2.7796 -2.9592 -3.1323 -3.2970 -3.4542
 -3.6044 -3.7486 -3.8875 -4.0214 -4.1501 -4.2742 -4.3946 -4.5114 -4.6248 -4.7350
 -4.8412
 -1.3771 -1.4860 -1.5914 -1.6947 -1.7969 -1.8974 -1.9941 -2.0831 -2.1633 -2.2404
