 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -4.8264 -4.7176 -4.5861 -4.4271 -4.2465 -3.7386 -3.2381 -2.7903 -2.4008 -2.0760
 -1.8192 -1.6252 -1.4887 -1.4020 -1.3533 -1.3293 -1.3203 -1.3192 -1.3218 -1.3240
 -1.3229
 -7.6971 -7.1634 -6.6917 -6.2818 -5.9319 -5.6362 -5.3871 -5.1766 -4.9971 -4.8412
 -4.7029 -4.5783 -4.4626 -4.3434 -4.2026 -3.7450 -3.2460 -2.7954 -2.4019 -2.0681
 -1.7975 -1.5880 -1.4352 -1.3336 -1.2738 -1.2433 -1.2316 -1.2306 -1.2352 -1.2421
 -1.2482
 -8.0555 -7.5180 -7.0042 -6.5416 -6.1366 -5.7894 -5.4936 -5.2407 -5.0229 -4.8332
 -4.6647 -4.5120 -4.3709 -4.2393 -4.1133 -3.7524 -3.2864 -2.8323 -2.4336 -2.0903
 -1.8045 -1.5765 -1.4038 -1.2827 -1.2066 -1.1647 -1.1462 -1.1422 -1.1467 -1.1556
 -1.1660
 -8.2459 -7.7701 -7.2900 -6.8185 -6.3862 -6.0007 -5.6634 -5.3701 -5.1142 -4.8893
 -4.6895 -4.5095 -4.3444 -4.1907 -4.0461 -3.7107 -3.3288 -2.8902 -2.4854 -2.1330
 -1.8333 -1.5873 -1.3943 -1.2516 -1.1555 -1.0977 -1.0684 -1.0578 -1.0591 -1.0676
 -1.0798
 -8.2685 -7.8544 -7.4361 -7.0176 -6.6075 -6.2232 -5.8695 -5.5493 -5.2612 -5.0032
 -4.7714 -4.5623 -4.3717 -4.1959 -4.0010 -3.6199 -3.3732 -2.9691 -2.5573
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  u   
 -7.8697 -7.8468 -7.8107 -7.7557 -7.6886 -7.5672 -7.3445 -7.0074 -6.6401 -6.3222
 -6.0739 -5.8755 -5.7037 -5.5403 -5.3719 -4.9064 -4.3861 -3.8612 -3.3781
 -7.3543 -7.3299 -7.2959 -7.2472 -7.1787 -7.0787 -6.9134 -6.6625 -6.3715 -6.0978
 -5.8659 -5.6672 -5.4854 -5.3067 -5.1213 -4.6197 -4.0852 -3.5735 -3.1282 -2.7562
 -6.9177 -6.8832 -6.8457 -6.7990 -6.7380 -6.6550 -6.5283 -6.3407 -6.1124 -5.8787
 -5.6632 -5.4668 -5.2799 -5.0927 -4.8986 -4.3843 -3.8544 -3.3580 -2.9336 -2.5885
 -2.3214
 -6.6042 -6.5353 -6.4794 -6.4254 -6.3646 -6.2904 -6.1901 -6.0459 -5.8659 -5.6689
 -5.4728 -5.2836 -5.0976 -4.9085 -4.7121 -4.1976 -3.6796 -3.1966 -2.7839 -2.4521
 -2.1969 -2.0112
 -6.5104 -6.3580 -6.2397 -6.1485 -6.0713 -5.9944 -5.9056 -5.7891 -5.6432 -5.4772
 -5.3022 -5.1247 -4.9443 -4.7581 -4.5635 -4.0538 -3.5479 -3.0776 -2.6716 -2.3446
 -2.0934 -1.9095 -1.7838 -1.7023
 -6.5995 -6.3432 -6.1482 -6.0022 -5.8843 -5.7808 -5.6847 -5.5798 -5.4548 -5.3120
 -5.1567 -4.9931 -4.8220 -4.6423 -4.4524 -3.9497 -3.4525 -2.9929 -2.5912 -2.2636
 -2.0104 -1.8228 -1.6925 -1.6093 -1.5594 -1.5303 -1.5124 -1.5001 -1.4863 -1.4637
 -6.8241 -6.4764 -6.1851 -5.9486 -5.7608 -5.6144 -5.5004 -5.4033 -5.3001 -5.1779
 -5.0395 -4.8895 -4.7294 -4.5588 -4.3761 -3.8831 -3.3914 -2.9386 -2.5397 -2.2079
 -1.9475 -1.7518 -1.6127 -1.5220 -1.4685 -1.4395 -1.4243 -1.4164 -1.4107 -1.4021
 -1.3847
 -7.1298 -6.7031 -6.3362 -6.0246 -5.7653 -5.5519 -5.3770 -5.2345 -5.1190 -5.0184
 -4.9166 -4.7984 -4.6587 -4.5014 -4.3295 -3.8511 -3.3633 -2.9134 -2.5150 -2.1769
 -1.9058 -1.6979 -1.5463 -1.4441 -1.3824 -1.3495 -1.3345 -1.3287 -1.3274 -1.3266
 -1.3222
 -7.5235 -7.0159 -6.5731 -6.1917 -5.8674 -5.5949 -5.3674 -5.1771 -5.0170 -4.8803
 -4.7609 -4.6533 -4.5482 -4.4304 -4.2886 -3.8446 -3.3614 -2.9119 -2.5116 -2.1663
