 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  y   
 -0.2030 -0.2077 -0.2162 -0.2226 -0.2248 -0.2212 -0.2219 -0.2327 -0.2537 -0.2853
 -0.3259 -0.3728
 -0.2449 -0.2382 -0.2439 -0.2562 -0.2686 -0.2754 -0.2715 -0.2522 -0.2193 -0.1940
 -0.1871 -0.1934 -0.2047 -0.2149 -0.2211 -0.2235 -0.2270 -0.2404 -0.2638 -0.2970
 -0.3384 -0.3855 -0.4364 -0.4883
 -0.1568 -0.1426 -0.1340 -0.1375 -0.1492 -0.1640 -0.1766 -0.1821 -0.1763 -0.1668
 -0.1658 -0.1749 -0.1890 -0.2029 -0.2133 -0.2234 -0.2298 -0.2455 -0.2709 -0.3054
 -0.3476 -0.3954 -0.4469 -0.5005 -0.5544 -0.6092 -0.6656 -0.7243 -0.7847 -0.8437
 -0.1085 -0.0728 -0.0552 -0.0508 -0.0554 -0.0678 -0.0865 -0.1065 -0.1215 -0.1296
 -0.1380 -0.1515 -0.1690 -0.1867 -0.2014 -0.2206 -0.2307 -0.2483 -0.2755 -0.3111
 -0.3542 -0.4027 -0.4551 -0.5100 -0.5658 -0.6216 -0.6775 -0.7347 -0.7941 -0.8553
 -0.9151
 -0.0995 -0.0513 -0.0158  0.0057  0.0136  0.0093 -0.0052 -0.0279 -0.0567 -0.0817
 -0.1024 -0.1227 -0.1444 -0.1660 -0.1852 -0.2145 -0.2292 -0.2490 -0.2777 -0.3144
 -0.3583 -0.4077 -0.4611 -0.5175 -0.5751 -0.6328 -0.6903 -0.7475 -0.8056 -0.8656
 -0.9276
 -0.0930 -0.0452 -0.0076  0.0201  0.0373  0.0440  0.0412  0.0295  0.0082 -0.0218
 -0.0535 -0.0844 -0.1137 -0.1406 -0.1642 -0.2047 -0.2254 -0.2476 -0.2780 -0.3160
 -0.3607 -0.4112 -0.4658 -0.5236 -0.5833 -0.6434 -0.7031 -0.7619 -0.8205 -0.8800
 -0.9409
 -0.0817 -0.0360 -0.0006  0.0255  0.0433  0.0530  0.0548  0.0491  0.0362  0.0160
 -0.0108 -0.0410 -0.0726 -0.1041 -0.1336 -0.1892 -0.2184 -0.2434 -0.2754 -0.3144
 -0.3599 -0.4111 -0.4667 -0.5258 -0.5872 -0.6497 -0.7121 -0.7735 -0.8342 -0.8944
 -0.9542
 -0.0678 -0.0230  0.0104  0.0338  0.0489  0.0569  0.0587  0.0547  0.0450  0.0296
  0.0089 -0.0161 -0.0434 -0.0713 -0.0987 -0.1615 -0.2067 -0.2365 -0.2702 -0.3104
 -0.3566 -0.4083 -0.4647 -0.5249 -0.5878 -0.6524 -0.7175 -0.7819 -0.8452 -0.9074
 -0.9674
 -0.0459 -0.0065  0.0241  0.0457  0.0582  0.0635  0.0630  0.0579  0.0485  0.0352
  0.0180 -0.0028 -0.0261 -0.0505 -0.0595 -0.1216 -0.1903 -0.2269 -0.2624
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  y   
 -1.0557 -1.1005 -1.1003 -1.0538 -0.9687 -0.8354 -0.6548 -0.4107 -0.2735 -0.2085
 -0.1899 -0.1900 -0.1937 -0.1954 -0.1941 -0.1848 -0.1782 -0.1791 -0.1901
 -0.8619 -0.9056 -0.9367 -0.9428 -0.9088 -0.8163 -0.6497 -0.4325 -0.2838 -0.2130
 -0.1920 -0.1926 -0.1985 -0.2029 -0.2039 -0.1984 -0.1953 -0.1998 -0.2127 -0.2370
 -0.6688 -0.7064 -0.7378 -0.7525 -0.7396 -0.6869 -0.5830 -0.4285 -0.2892 -0.2139
 -0.1887 -0.1882 -0.1957 -0.2030 -0.2069 -0.2061 -0.2061 -0.2139 -0.2304 -0.2574
 -0.2949
 -0.4923 -0.5190 -0.5471 -0.5675 -0.5712 -0.5492 -0.4933 -0.3969 -0.2859 -0.2117
 -0.1821 -0.1796 -0.1880 -0.1979 -0.2051 -0.2100 -0.2130 -0.2237 -0.2432 -0.2725
 -0.3110 -0.3564
