 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -2.1147 -2.0096 -1.9032 -1.7961 -1.6881 -1.5833 -1.4849 -1.3947 -1.3139 -1.2424
 -1.1790 -1.1227 -1.0726 -1.0279 -0.9919 -0.8925 -0.8435 -0.8016 -0.7568
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  G   
 -3.2213 -3.1664 -3.1036 -3.0253 -2.9478 -2.8154 -2.5951 -2.3049 -2.0425 -1.7762
 -1.5922 -1.4506 -1.3396 -1.2484 -1.1703 -1.0122
 -2.9793 -2.9192 -2.8589 -2.7910 -2.7149 -2.6036 -2.4279 -2.1842 -1.9375 -1.7234
 -1.5509 -1.4151 -1.3075 -1.2197 -1.1448 -0.9947 -0.8806 -0.7931 -0.7275
 -2.7809 -2.7117 -2.6489 -2.5857 -2.5138 -2.4214 -2.2835 -2.0830 -1.8738 -1.6832
 -1.5223 -1.3918 -1.2867 -1.2009 -1.1281 -0.9835 -0.8749 -0.7935 -0.7339 -0.6918
 -0.6622
 -2.6261 -2.5439 -2.4736 -2.4094 -2.3444 -2.2688 -2.1619 -2.0013 -1.8246 -1.6556
 -1.5064 -1.3807 -1.2772 -1.1920 -1.1202 -0.9786 -0.8736 -0.7961 -0.7402 -0.7007
 -0.6737 -0.6554 -0.6439
 -2.5111 -2.4151 -2.3338 -2.2630 -2.1974 -2.1302 -2.0485 -1.9241 -1.7770 -1.6295
 -1.4934 -1.3744 -1.2733 -1.1887 -1.1172 -0.9775 -0.8749 -0.7997 -0.7464 -0.7090
 -0.6839 -0.6672 -0.6558 -0.6492 -0.6476
 -2.4008 -2.3053 -2.2208 -2.1448 -2.0746 -2.0078 -1.9377 -1.8448 -1.7254 -1.5991
 -1.4776 -1.3673 -1.2707 -1.1877 -1.1168 -0.9784 -0.8772 -0.8036 -0.7521 -0.7166
 -0.6931 -0.6783 -0.6691 -0.6637 -0.6618 -0.6633
 -2.3117 -2.1890 -2.0910 -2.0144 -1.9521 -1.8939 -1.8316 -1.7597 -1.6669 -1.5618
 -1.4558 -1.3561 -1.2659 -1.1863 -1.1168 -0.9798 -0.8797 -0.8072 -0.7568 -0.7229
 -0.7012 -0.6883 -0.6813 -0.6778 -0.6769 -0.6783 -0.6830 -0.6919 -0.7054 -0.7228
 -2.2823 -2.1403 -2.0162 -1.9122 -1.8267 -1.7560 -1.6962 -1.6407 -1.5786 -1.5046
 -1.4220 -1.3373 -1.2563 -1.1820 -1.1154 -0.9807 -0.8817 -0.8099 -0.7601 -0.7274
 -0.7073 -0.6966 -0.6923 -0.6914 -0.6926 -0.6955 -0.7007 -0.7080 -0.7193 -0.7359
 -0.7569
 -2.2769 -2.1272 -1.9907 -1.8687 -1.7630 -1.6732 -1.5959 -1.5267 -1.4614 -1.3987
