 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F336W
-11.4938-10.4208 -9.3368 -8.3487 -7.5113 -6.8453 -6.3369 -5.9500 -5.6418 -5.3758
 -5.1328 -4.9099 -4.7083 -4.5226 -4.3379 -3.8218 -3.2796 -2.7798 -2.3249 -1.9230
 -1.5814 -1.3014 -1.0812 -0.9193 -0.8110 -0.7454 -0.7095 -0.6922 -0.6860 -0.6868
 -0.6890
-11.8783-10.9164 -9.8712 -8.8545 -7.9409 -7.1659 -6.5372 -6.0437 -5.6577 -5.3456
 -5.0771 -4.8332 -4.6082 -4.4039 -4.2191 -3.7951 -3.3232 -2.8272 -2.3711 -1.9635
 -1.6105 -1.3145 -1.0750 -0.8906 -0.7598 -0.6753 -0.6259 -0.6000 -0.5890 -0.5875
 -0.5906
-12.2037-11.3403-10.3792 -9.3850 -8.4420 -7.5978 -6.8753 -6.2786 -5.7979 -5.4124
 -5.0964 -4.8262 -4.5838 -4.3611 -4.1566 -3.7196 -3.3227 -2.8847 -2.4333
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F336W
-12.4476-11.6878-10.8169 -9.7888 -8.7807 -8.0495 -7.6058 -7.2867 -7.0298 -6.8116
 -6.5999 -6.3906 -6.1838 -5.9766 -5.7670 -5.2191 -4.6585 -4.0937 -3.5270
-11.4769-11.0484-10.4449 -9.6731 -8.7311 -7.9000 -7.3680 -6.9969 -6.7138 -6.4782
 -6.2562 -6.0423 -5.8332 -5.6251 -5.4146 -4.8691 -4.2999 -3.7415 -3.2320 -2.7883
-10.6282-10.3203 -9.9174 -9.4379 -8.7435 -7.9049 -7.2418 -6.7966 -6.4723 -6.2127
 -5.9791 -5.7589 -5.5473 -5.3395 -5.1314 -4.5968 -4.0401 -3.4941 -3.0022 -2.5849
 -2.2496
 -9.9403 -9.4607 -9.2953 -9.0100 -8.6060 -7.9843 -7.2628 -6.7017 -6.3116 -6.0146
 -5.7644 -5.5341 -5.3168 -5.1072 -4.9006 -4.3794 -3.8397 -3.3064 -2.8248 -2.4202
 -2.0962 -1.8534
 -9.6068 -8.8702 -8.5417 -8.4394 -8.2401 -7.8955 -7.3552 -6.7352 -6.2430 -5.8888
 -5.6106 -5.3654 -5.1383 -4.9233 -4.7152 -4.2036 -3.6822 -3.1636 -2.6898 -2.2905
 -1.9705 -1.7273 -1.5569 -1.4441
 -9.7497 -8.7853 -8.1488 -7.8029 -7.6717 -7.5481 -7.2703 -6.8212 -6.2883 -5.8462
 -5.5174 -5.2515 -5.0111 -4.7871 -4.5740 -4.0647 -3.5591 -3.0563 -2.5899 -2.1919
 -1.8708 -1.6228 -1.4440 -1.3247 -1.2494 -1.2018 -1.1710 -1.1481 -1.1241 -1.0924
-10.1223 -8.9823 -8.1317 -7.5577 -7.1998 -6.9989 -6.8780 -6.6911 -6.3477 -5.9038
 -5.4989 -5.1911 -4.9338 -4.6982 -4.4774 -3.9632 -3.4680 -2.9795 -2.5206 -2.1216
 -1.7953 -1.5392 -1.3491 -1.2182 -1.1351 -1.0847 -1.0539 -1.0340 -1.0179 -0.9996
 -0.9731
-10.6344 -9.4003 -8.3672 -7.5986 -7.0631 -6.6986 -6.4463 -6.2642 -6.1049 -5.8833
 -5.5552 -5.1935 -4.9034 -4.6544 -4.4240 -3.8992 -3.4085 -2.9310 -2.4790 -2.0782
 -1.7436 -1.4766 -1.2728 -1.1274 -1.0324 -0.9749 -0.9416 -0.9219 -0.9094 -0.8989
 -0.8856
-11.3250 -9.9478 -8.7998 -7.8587 -7.1494 -6.6392 -6.2723 -5.9940 -5.7670 -5.5726
 -5.3891 -5.1762 -4.9071 -4.6460 -4.4067 -3.8689 -3.3770 -2.9059 -2.4588 -2.0556
 -1.7121 -1.4320 -1.2133 -1.0518 -0.9423 -0.8743 -0.8354 -0.8142 -0.8027 -0.7959
 -0.7903
-11.8604-10.5478 -9.3701 -8.3148 -7.4486 -6.7815 -6.2865 -5.9168 -5.6261 -5.3795
 -5.1608 -4.9650 -4.7830 -4.5939 -4.3956 -3.8755 -3.3803 -2.9134 -2.4708 -2.0654
 -1.7119 -1.4170 -1.1809 -1.0005 -0.8724 -0.7893 -0.7402 -0.7135 -0.7002 -0.6946
 -0.6925
-12.2210-11.0880 -9.9747 -8.8806 -7.9107 -7.1084 -6.4753 -5.9903 -5.6179 -5.3199
 -5.0661 -4.8394 -4.6348 -4.4510 -4.2827 -3.8720 -3.4084 -2.9431 -2.5042 -2.0979
 -1.7360 -1.4269 -1.1733 -0.9732 -0.8243 -0.7224 -0.6589 -0.6227 -0.6043 -0.5969
 -0.5953
-12.4069-11.5683-10.5210 -9.4715 -8.4610 -7.5731 -6.8247 -6.2208 -5.7449 -5.3693
 -5.0654 -4.8078 -4.5792 -4.3726 -4.0680 -3.8584 -3.4613 -2.9950 -2.5590
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F336W
-12.7283-11.6183-10.5172 -9.4255 -8.4716 -7.8466 -7.4550 -7.1851 -6.9628 -6.7737
 -6.5868 -6.4008 -6.2148 -6.0273 -5.8358 -5.3267 -4.7937 -4.2461 -3.6876
-11.7997-11.1447-10.3761 -9.3823 -8.4122 -7.6689 -7.1989 -6.8874 -6.6443 -6.4428
 -6.2507 -6.0639 -5.8796 -5.6946 -5.5053 -5.0049 -4.4643 -3.9169 -3.4068 -2.9555
-10.6908-10.5041-10.0486 -9.3538 -8.4811 -7.6405 -7.0503 -6.6695 -6.3910 -6.1714
