 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.6732
 -1.4015 -1.2052 -1.0308 -0.8777 -0.7449 -0.6336 -0.5416 -0.4672 -0.4080 -0.3615
 -0.3251 -0.2968 -0.2747 -0.2575 -0.2288 -0.2053 -0.2291 -0.2263 -0.2243
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  i   
 -2.6402 -2.6171 -2.6174 -2.5921 -2.4928 -2.2810 -1.9257 -1.4600 -1.0816 -0.8187
 -0.6568 -0.5564 -0.4865 -0.4317 -0.3854 -0.2941 -0.2276 -0.1838 -0.1625
 -2.3936 -2.3571 -2.3187 -2.2732 -2.1937 -2.0459 -1.7912 -1.4147 -1.0652 -0.8130
 -0.6531 -0.5532 -0.4847 -0.4317 -0.3871 -0.2999 -0.2385 -0.1991 -0.1804 -0.1805
 -2.1749 -2.1116 -2.0614 -2.0112 -1.9432 -1.8331 -1.6496 -1.3635 -1.0594 -0.8185
 -0.6569 -0.5540 -0.4846 -0.4324 -0.3891 -0.3051 -0.2472 -0.2111 -0.1949 -0.1958
 -0.2108
 -1.9921 -1.9025 -1.8323 -1.7724 -1.7098 -1.6270 -1.5004 -1.2965 -1.0470 -0.8250
 -0.6635 -0.5566 -0.4850 -0.4328 -0.3904 -0.3094 -0.2542 -0.2205 -0.2060 -0.2075
 -0.2216 -0.2462
 -1.8456 -1.7315 -1.6395 -1.5646 -1.4985 -1.4294 -1.3408 -1.2051 -1.0159 -0.8231
 -0.6680 -0.5590 -0.4850 -0.4321 -0.3906 -0.3125 -0.2597 -0.2280 -0.2146 -0.2165
 -0.2302 -0.2533 -0.2846 -0.3220
 -1.6731 -1.5877 -1.4833 -1.3939 -1.3178 -1.2493 -1.1792 -1.0902 -0.9598 -0.8053
 -0.6653 -0.5585 -0.4832 -0.4297 -0.3888 -0.3139 -0.2636 -0.2336 -0.2210 -0.2233
 -0.2368 -0.2592 -0.2891 -0.3253 -0.3666 -0.4127 -0.4634 -0.5186 -0.5766 -0.6326
 -1.5160 -1.3998 -1.3102 -1.2339 -1.1623 -1.0936 -1.0281 -0.9622 -0.8781 -0.7665
 -0.6503 -0.5520 -0.4782 -0.4247 -0.3846 -0.3132 -0.2656 -0.2373 -0.2256 -0.2280
 -0.2417 -0.2638 -0.2930 -0.3282 -0.3680 -0.4118 -0.4591 -0.5105 -0.5662 -0.6241
 -0.6803
 -1.4303 -1.2775 -1.1537 -1.0576 -0.9831 -0.9229 -0.8706 -0.8206 -0.7681 -0.6995
 -0.6161 -0.5348 -0.4674 -0.4160 -0.3771 -0.3097 -0.2651 -0.2388 -0.2283 -0.2309
 -0.2447 -0.2670 -0.2960 -0.3309 -0.3703 -0.4130 -0.4587 -0.5070 -0.5586 -0.6140
 -0.6720
 -1.4029 -1.2324 -1.0859 -0.9640 -0.8657 -0.7876 -0.7242 -0.6717 -0.6262 -0.5827
 -0.5345 -0.4850 -0.4387 -0.3980 -0.3640 -0.3026 -0.2615 -0.2375 -0.2284 -0.2318
 -0.2460 -0.2688 -0.2982 -0.3334 -0.3730 -0.4157 -0.4608 -0.5077 -0.5567 -0.6087
 -0.6639
 -1.4078 -1.2253 -1.0662 -0.9288 -0.8134 -0.7188 -0.6424 -0.5801 -0.5284 -0.4842
 -0.4436 -0.4065 -0.3758 -0.3520 -0.3328 -0.2911 -0.2554 -0.2337 -0.2262 -0.2304
 -0.2448 -0.2680 -0.2981 -0.3337 -0.3738 -0.4171 -0.4625 -0.5092 -0.5572 -0.6069
 -0.6581
 -1.4325 -1.2408 -1.0707 -0.9225 -0.7958 -0.6894 -0.6020 -0.5309 -0.4735 -0.4266
