 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.4847 -6.1467 -5.8307 -5.5429 -5.2738 -4.9666 -4.4774 -3.7890 -3.0934 -2.5242
 -2.1088 -1.8131 -1.5973 -1.4315 -1.2957 -1.0329 -0.8366 -0.6804 -0.5490 -0.4341
 -6.2008 -5.8429 -5.5014 -5.1861 -4.8964 -4.5967 -4.1788 -3.6079 -3.0104 -2.4905
 -2.0890 -1.7931 -1.5744 -1.4063 -1.2696 -1.0058 -0.8104 -0.6582 -0.5330 -0.4257
 -0.3330
 -5.9809 -5.6085 -5.2474 -4.9064 -4.5890 -4.2837 -3.9283 -3.4547 -2.9443 -2.4750
 -2.0905 -1.7948 -1.5712 -1.3987 -1.2594 -0.9926 -0.7957 -0.6446 -0.5231 -0.4209
 -0.3335 -0.2589
 -5.7323 -5.3716 -5.0182 -4.6753 -4.3441 -4.0239 -3.6995 -3.3085 -2.8742 -2.4574
 -2.0972 -1.8066 -1.5796 -1.4023 -1.2595 -0.9886 -0.7888 -0.6371 -0.5176 -0.4189
 -0.3357 -0.2653 -0.2052 -0.1534
 -5.3803 -4.9738 -4.6406 -4.3533 -4.0773 -3.7904 -3.4852 -3.1554 -2.7905 -2.4267
 -2.0974 -1.8191 -1.5931 -1.4125 -1.2662 -0.9906 -0.7876 -0.6339 -0.5149 -0.4186
 -0.3388 -0.2720 -0.2156 -0.1676 -0.1261 -0.0907 -0.0607 -0.0353 -0.0170 -0.0084
 -5.2193 -4.7134 -4.2902 -3.9458 -3.6606 -3.4114 -3.1766 -2.9289 -2.6534 -2.3619
 -2.0786 -1.8238 -1.6061 -1.4258 -1.2769 -0.9966 -0.7905 -0.6339 -0.5142 -0.4193
 -0.3420 -0.2783 -0.2255 -0.1812 -0.1435 -0.1110 -0.0833 -0.0600 -0.0411 -0.0293
 -0.0270
 -5.2189 -4.6435 -4.1434 -3.7248 -3.3815 -3.0949 -2.8441 -2.6110 -2.3871 -2.1772
 -1.9796 -1.7883 -1.6042 -1.4362 -1.2895 -1.0058 -0.7965 -0.6366 -0.5151 -0.4204
 -0.3447 -0.2835 -0.2339 -0.1934 -0.1596 -0.1309 -0.1064 -0.0855 -0.0683 -0.0556
 -0.0502
 -5.3082 -4.6891 -4.1323 -3.6525 -3.2527 -2.9237 -2.6491 -2.4100 -2.1926 -1.9934
 -1.8176 -1.6678 -1.5367 -1.4129 -1.2898 -1.0148 -0.8030 -0.6399 -0.5158 -0.4204
 -0.3456 -0.2864 -0.2396 -0.2027 -0.1731 -0.1486 -0.1281 -0.1105 -0.0959 -0.0845
 -0.0777
 -5.4319 -4.7969 -4.2077 -3.6844 -3.2371 -2.8669 -2.5632 -2.3106 -2.0944 -1.9036
 -1.7342 -1.5861 -1.4599 -1.3524 -1.2561 -1.0243 -0.8140 -0.6476 -0.5200 -0.4224
 -0.3472 -0.2889 -0.2439 -0.2097 -0.1838 -0.1636 -0.1476 -0.1342 -0.1230 -0.1142
 -0.1082
 -5.5145 -4.8973 -4.3076 -3.7634 -3.2870 -2.8836 -2.5511 -2.2791 -2.0535 -1.8625
 -1.6970 -1.5522 -1.4253 -1.3152 -1.2193 -1.0165 -0.8254 -0.6572 -0.5258 -0.4253
 -0.3486 -0.2900 -0.2459 -0.2136 -0.1905 -0.1743 -0.1628 -0.1540 -0.1472 -0.1420
 -0.1385
 -5.5462 -4.9570 -4.3884 -3.8550 -3.3689 -2.9478 -2.5932 -2.3005 -2.0598 -1.8600
 -1.6907 -1.5448 -1.4171 -1.3046 -1.1794 -0.9914 -0.8372 -0.6687 -0.5332
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.9748 -6.6846 -6.4217 -6.1918 -5.9767 -5.6990 -5.1670 -4.3108 -3.4557 -2.7511
 -2.2540 -1.9122 -1.6704 -1.4882 -1.3445 -1.0731 -0.8728 -0.7111 -0.5718
 -6.5965 -6.2842 -6.0026 -5.7596 -5.5402 -5.2797 -4.8090 -4.0898 -3.3286 -2.6789
